topic_number,topic_label,topic_type,dominant_video_count,metric,metric_family,valid_n,median,q25,q75
8,"Solar PV, batteries and power systems",technical_subject,92,api_comments_per_day,age_normalised_provisional,92,0.10621490056313321,0.02685554675169485,0.4444190866912965
9,Performance checking and troubleshooting,knowledge_sharing_behaviour,34,duration_minutes,video_context,34,0.65,0.4583333333333333,3.0
9,Performance checking and troubleshooting,knowledge_sharing_behaviour,34,view_count,reach,34,27519.0,10411.25,76497.75
9,Performance checking and troubleshooting,knowledge_sharing_behaviour,34,like_count,reach,34,128.5,21.75,359.0
9,Performance checking and troubleshooting,knowledge_sharing_behaviour,34,api_comment_count,discussion_volume,34,12.5,4.25,33.5
9,Performance checking and troubleshooting,knowledge_sharing_behaviour,34,likes_per_1000_views,engagement_rate,34,4.456398378159663,2.7556234473951418,9.140890265709732
9,Performance checking and troubleshooting,knowledge_sharing_behaviour,34,api_comments_per_1000_views,discussion_rate,34,0.3657418816716558,0.16029760284074376,0.8498062623917593
9,Performance checking and troubleshooting,knowledge_sharing_behaviour,34,views_per_day,age_normalised_provisional,34,34.20070823589121,10.160971964543393,90.33025506385724
9,Performance checking and troubleshooting,knowledge_sharing_behaviour,34,api_comments_per_day,age_normalised_provisional,34,0.0128992969052759,0.004852296795383375,0.048117612724354275
10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,27,duration_minutes,video_context,27,1.2666666666666666,0.5333333333333333,6.825
10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,27,view_count,reach,27,14947.0,2476.5,39947.0
10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,27,like_count,reach,27,117.0,15.5,337.5
10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,27,api_comment_count,discussion_volume,27,8.0,4.5,16.5
10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,27,likes_per_1000_views,engagement_rate,27,7.902735562310031,5.943222822201689,14.26837403639129
10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,27,api_comments_per_1000_views,discussion_rate,27,0.8728859792689581,0.3309390728470232,1.553365003828813
10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,27,views_per_day,age_normalised_provisional,27,27.47074122236671,3.8486190174994728,65.80067654180317
10,"Implementation follow-up, outcomes and retrospective questions",knowledge_sharing_behaviour,27,api_comments_per_day,age_normalised_provisional,27,0.0123042505592841,0.0038926681783824496,0.03285217525923585
11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,23,duration_minutes,video_context,23,0.95,0.2583333333333333,2.6500000000000004
11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,23,view_count,reach,23,14039.0,3963.0,47512.5
11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,23,like_count,reach,23,77.0,32.0,448.5
11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,23,api_comment_count,discussion_volume,23,8.0,2.5,20.5
11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,23,likes_per_1000_views,engagement_rate,23,7.775421589417348,3.4904702715976352,9.800109199301332
11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,23,api_comments_per_1000_views,discussion_rate,23,0.6475460702047865,0.10184864358963536,1.1680959915287106
11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,23,views_per_day,age_normalised_provisional,23,18.89908256880734,6.866176560842386,58.90527405621745
11,"Product sourcing, access and location questions",knowledge_sharing_behaviour,23,api_comments_per_day,age_normalised_provisional,23,0.0121049092131809,0.0041206051034826,0.0218121669836717
12,Roof and attic ventilation and airflow,technical_subject,116,duration_minutes,video_context,116,3.6166666666666663,0.9625000000000001,7.620833333333334
12,Roof and attic ventilation and airflow,technical_subject,116,view_count,reach,116,73427.5,22326.25,139352.75
12,Roof and attic ventilation and airflow,technical_subject,116,like_count,reach,116,644.5,142.25,1987.75
12,Roof and attic ventilation and airflow,technical_subject,116,api_comment_count,discussion_volume,116,65.5,18.75,152.25
12,Roof and attic ventilation and airflow,technical_subject,116,likes_per_1000_views,engagement_rate,116,10.857189333381788,6.956056789432264,16.291266100504345
12,Roof and attic ventilation and airflow,technical_subject,116,api_comments_per_1000_views,discussion_rate,116,0.9685326632336992,0.545193044999975,1.8520528263561762
12,Roof and attic ventilation and airflow,technical_subject,116,views_per_day,age_normalised_provisional,116,69.42848463907231,24.49020835921432,158.26789259746184
12,Roof and attic ventilation and airflow,technical_subject,116,api_comments_per_day,age_normalised_provisional,116,0.06382275058002815,0.027636177102369226,0.193378167773411
13,"Wall, cavity and floor insulation",technical_subject,147,duration_minutes,video_context,147,4.266666666666667,0.9833333333333332,8.658333333333333
13,"Wall, cavity and floor insulation",technical_subject,147,view_count,reach,147,63867.0,12936.0,180351.5
13,"Wall, cavity and floor insulation",technical_subject,147,like_count,reach,147,619.0,74.0,1790.0
13,"Wall, cavity and floor insulation",technical_subject,147,api_comment_count,discussion_volume,147,45.0,14.0,173.5
13,"Wall, cavity and floor insulation",technical_subject,147,likes_per_1000_views,engagement_rate,147,9.237559359215826,5.524861319030877,15.105074676233368
13,"Wall, cavity and floor insulation",technical_subject,147,api_comments_per_1000_views,discussion_rate,147,1.0722135849461214,0.501387865777138,1.993077684223406
13,"Wall, cavity and floor insulation",technical_subject,147,views_per_day,age_normalised_provisional,147,66.06058394160584,12.612840331669155,203.10074003837192
13,"Wall, cavity and floor insulation",technical_subject,147,api_comments_per_day,age_normalised_provisional,147,0.0503246753246753,0.013189039114690049,0.17553919061958784
