feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present
vapor,1,680,1.6004895615129333,5.1334146559527225,0.002877157961732575,0.17976736811784105
costs,1,680,1.6004895615129333,5.1334146559527225,0.0024706418725651672,0.1543678841759945
rooms,1,680,1.6004895615129333,5.1334146559527225,0.0022271513328525204,0.13915438041015446
makes,1,679,1.5981359003930613,5.134884163932083,0.0023359235984361936,0.14616551682880494
replace,1,675,1.5887212559135735,5.140783886059271,0.002586679091384911,0.16281516230469736
boards,1,674,1.5863675947937017,5.142264271229705,0.002776977187297957,0.1750525664046414
days,1,674,1.5863675947937017,5.142264271229705,0.0021661772251920365,0.1365495130070238
coming,1,672,1.5816602725539577,5.145231632457508,0.0023764017461488083,0.15024729313783394
panel,1,671,1.5793066114340857,5.146718621579086,0.003038370728213317,0.19238637426169777
brick,1,667,1.5698919669545979,5.152688788565589,0.002617300202163546,0.16671849128833968
possible,1,665,1.5651846447148539,5.155687291561846,0.002318553933622219,0.14813293380121387
bad,1,664,1.562830983594982,5.157189921446381,0.0025131249370329706,0.16080593252969852
installing,1,664,1.562830983594982,5.157189921446381,0.0023730491927491824,0.151842983512552
joists,1,662,1.558123661355238,5.160201971916373,0.0026538746955505777,0.1703250365405701
plastic,1,659,1.5510626779956223,5.1647371270817635,0.0027216948407005185,0.17547291152783448
similar,1,659,1.5510626779956223,5.1647371270817635,0.002290808912986368,0.14769286538095874
thinking,1,658,1.5487090168757502,5.166253427599728,0.00223921752247148,0.14458607124201486
recommend,1,657,1.5463553557558782,5.167772030776918,0.0026616441319621885,0.17212370507561264
cheap,1,654,1.5392943723962624,5.172341726466983,0.002563282216486706,0.16652319806096433
able,1,654,1.5392943723962624,5.172341726466983,0.0021923658571093305,0.14242667916055676
away,1,653,1.5369407112763904,5.173869610645037,0.0021530225328603783,0.1400849438799983
leave,1,649,1.5275260667969026,5.180004599212553,0.0024303583557643412,0.15910421488653248
understand,1,649,1.5275260667969026,5.180004599212553,0.00225142138576566,0.14739004686752788
bought,1,647,1.5228187445571586,5.18308626574996,0.002258849522856702,0.1483334461786904
living,1,647,1.5228187445571586,5.18308626574996,0.0021581289837616273,0.1417193603293358
efficient,1,646,1.5204650834372866,5.1846306676013345,0.002093046365032344,0.137658298624039
remove,1,644,1.5157577611975428,5.187726645306463,0.002459556401585467,0.1622657963263381
easy,1,644,1.5157577611975428,5.187726645306463,0.0024395805902671665,0.16094792009111972
hot water,2,643,1.5134041000776708,5.1892782359978815,0.00230379188000681,0.15222582520349817
electricity,1,642,1.5110504389577988,5.1908322378646155,0.002348135563934625,0.1553975634032561
gets,1,641,1.508696777837927,5.192388658412273,0.002146874385715923,0.14229992515742967
heat pumps,2,639,1.503989455598183,5.195508785748517,0.0023036116155157305,0.15316673976278067
efficiency,1,637,1.499282133358439,5.198638678757445,0.002152112739916312,0.14354287909077607
save,1,636,1.4969284722385672,5.200207306530071,0.002310553109678112,0.1543529402058081
cool,1,634,1.4922211499988232,5.203351963209544,0.0023502686119675938,0.15750136043638352
years ago,2,633,1.4898674888789512,5.204928007665009,0.0019851121197524925,0.13324085091931143
exterior,1,626,1.4733918610398475,5.2160304214693145,0.0023082365239896117,0.15666141404911602
pipe,1,625,1.4710381999199755,5.217626591002136,0.002663131914003337,0.18103757700841563
