comments_sampled_per_video,eligible_videos,topic_number,topic_label,metric,repetitions,median_rho,mean_rho,rho_q025,rho_q25,rho_q75,rho_q975,minimum_rho,maximum_rho,positive_fraction,negative_fraction,stage_08c_threshold_rho,median_minus_stage_08c_rho
10,591,8,"Solar PV, batteries and power systems",view_count,100,-0.02056650187676763,-0.02164639291742778,-0.0581693634436632,-0.038172747603526264,-0.009651719595781483,0.02966045753835051,-0.0795372010250684,0.04550526395490757,0.13,0.87,-0.010004482171947,-0.010562019704820631
10,591,8,"Solar PV, batteries and power systems",views_per_day,100,0.05322294349097168,0.05376756772451687,0.016118119470726913,0.03811524438631657,0.07067210554654563,0.09240527108695333,-0.0027713596061310327,0.11886657431329882,0.99,0.01,0.0735066898098523,-0.020283746318880615
10,591,9,Performance checking and troubleshooting,api_comment_count,100,-0.042802621846404355,-0.04181125306169689,-0.09792413762844318,-0.05939804379685086,-0.024716189510822856,0.027015072170194467,-0.10743053546589024,0.04473708022636632,0.09,0.91,0.0052483115451819,-0.048050933391586254
10,591,9,Performance checking and troubleshooting,api_comments_per_1000_views,100,-0.04959135841671475,-0.04865776885271764,-0.10699284804291886,-0.0633892296140011,-0.03470079489130321,0.008855696394886377,-0.12987279604443422,0.014582224816488349,0.06,0.94,-0.0726285370804858,0.023037178663771057
10,591,9,Performance checking and troubleshooting,api_comments_per_day,100,-0.07971943374695986,-0.07765391225398158,-0.12817659466679165,-0.09922139336722058,-0.061305857404462455,-0.018530037340340956,-0.13480137669758827,0.026522410499337925,0.01,0.99,-0.0602603528418722,-0.01945908090508766
10,591,9,Performance checking and troubleshooting,duration_minutes,100,-0.051079052141527304,-0.05227526290734844,-0.10387183938178754,-0.07058203136099392,-0.031754536438669594,-0.008195060937203364,-0.1241937141157979,0.03200775854716486,0.01,0.99,-0.0945167901506319,0.043437738009104596
10,591,9,Performance checking and troubleshooting,like_count,100,-0.03880411987604286,-0.040539906005084524,-0.09894098205671285,-0.06332009911374864,-0.019908230676512484,0.010587975558312845,-0.11197919145713173,0.017237905120223995,0.08,0.92,-0.0077360883309573,-0.031068031545085563
10,591,9,Performance checking and troubleshooting,likes_per_1000_views,100,-0.0774997240923602,-0.07858763786868932,-0.127743629335634,-0.10091373954930305,-0.0577234932601361,-0.028896644011469002,-0.14697001872675994,0.00962505255212514,0.01,0.99,-0.1059589925237882,0.028459268431428
10,591,9,Performance checking and troubleshooting,view_count,100,0.015046922302943808,0.01080089142043627,-0.04554244830630092,-0.01465574064962569,0.033831660929701274,0.06637619665569984,-0.052027158414689766,0.07291434726512594,0.63,0.37,0.0593301143352765,-0.04428319203233269
10,591,9,Performance checking and troubleshooting,views_per_day,100,-0.025780537985682285,-0.029875521396887476,-0.07844154326411079,-0.05455372623946633,-0.007396718054089063,0.01934797789328174,-0.08922142060518216,0.027415587187077116,0.19,0.81,-0.0029334892838291,-0.022847048701853185
10,591,10,"Implementation follow-up, outcomes and retrospective questions",api_comment_count,100,0.028945295130461013,0.028668797694153,-0.017550443362462045,0.00618072782299136,0.05075656224726041,0.07520081722618314,-0.042875497856107794,0.08323877574618374,0.83,0.17,0.101791915258365,-0.072846620127904
10,591,10,"Implementation follow-up, outcomes and retrospective questions",api_comments_per_1000_views,100,-0.0560833975839167,-0.05614002247739263,-0.10424838501920689,-0.07408024584049673,-0.0400277095046243,0.006275122485453709,-0.1391233329955829,0.02209413014216144,0.03,0.97,-0.064572283287331,0.0084888857034143
10,591,10,"Implementation follow-up, outcomes and retrospective questions",api_comments_per_day,100,0.015019761291012582,0.014342662815994316,-0.03869485229542066,-0.004172616179914778,0.032249837929159544,0.06843145401395827,-0.04722976089747721,0.07277602064603995,0.69,0.31,0.0699308919174702,-0.054911130626457624
10,591,10,"Implementation follow-up, outcomes and retrospective questions",duration_minutes,100,0.02694154397736069,0.029707082450289586,-0.024927132586899426,0.013358884656550163,0.046832482999352006,0.09013329931606179,-0.03807587177840767,0.11349294916824618,0.85,0.15,0.0681390617594977,-0.04119751778213701
10,591,10,"Implementation follow-up, outcomes and retrospective questions",like_count,100,0.01721260968588033,0.013630771255435003,-0.05266124364588382,-0.006246212419770708,0.03652906798056904,0.06435343481340237,-0.06416357714784256,0.07368761435875304,0.65,0.35,0.0682557370850953,-0.051043127399214974
10,591,10,"Implementation follow-up, outcomes and retrospective questions",likes_per_1000_views,100,-0.029696951534242795,-0.02892243562882762,-0.07603901908053402,-0.05019190018955645,-0.010199151464130201,0.03165701980410546,-0.08611688887013344,0.04285418223558316,0.15,0.85,-0.0171806916470111,-0.012516259887231696
10,591,10,"Implementation follow-up, outcomes and retrospective questions",view_count,100,0.042680089786992795,0.038743929581824474,-0.025010257216744346,0.020369787022461647,0.05731766404134875,0.09329033856846693,-0.03730118766244235,0.10335207433307018,0.91,0.09,0.0856042655405986,-0.04292417575360581
10,591,10,"Implementation follow-up, outcomes and retrospective questions",views_per_day,100,0.027333651607156242,0.026942820271363955,-0.027551835646891044,0.009289927152535135,0.04363133892160921,0.07564599134239297,-0.04194649063323208,0.08610824242597243,0.84,0.16,0.065337948289854,-0.03800429668269775
10,591,11,"Product sourcing, access and location questions",api_comment_count,100,0.01603269109154247,0.017270893308692952,-0.028083561439891484,0.00031788800403975443,0.03129289734170261,0.06539876410920253,-0.036865206492667585,0.08247939738674652,0.75,0.25,0.1490589831966325,-0.13302629210509004
10,591,11,"Product sourcing, access and location questions",api_comments_per_1000_views,100,-0.10485644956672374,-0.10095354121514666,-0.14755067351043685,-0.11940179632174351,-0.07818707366761998,-0.057890305915088605,-0.1699700689525895,-0.04356502006884835,0.0,1.0,-0.1404756063815686,0.03561915681484487
10,591,11,"Product sourcing, access and location questions",api_comments_per_day,100,0.019738463777813776,0.017466988059964484,-0.028679765032536657,0.005183445570609975,0.03035151248087163,0.06339337299696955,-0.044294301037301996,0.08361032084626727,0.82,0.18,0.1211498171147142,-0.10141135333690043
10,591,11,"Product sourcing, access and location questions",duration_minutes,100,-0.041119438618364604,-0.04000488646611407,-0.09072415018275111,-0.06558729754933484,-0.019258516139818042,0.02174306277639422,-0.10186770181858845,0.053337999360690835,0.08,0.92,-0.0493378855513847,0.008218446933020096
10,591,11,"Product sourcing, access and location questions",like_count,100,0.066016254484381,0.06682134601487098,0.019716402987851867,0.051122055255432626,0.08007978272616502,0.12288574701391541,0.002709608156701718,0.15337443686230742,1.0,0.0,0.1859927103442766,-0.11997645585989561
10,591,11,"Product sourcing, access and location questions",likes_per_1000_views,100,-0.004034305879826524,-0.0074086730130015965,-0.07736380817700604,-0.028182317753130594,0.016189964273827916,0.04775222148817527,-0.0840268246007452,0.06025480787702222,0.42,0.58,0.0128576440452151,-0.016891949925041623
10,591,11,"Product sourcing, access and location questions",view_count,100,0.08059113648107755,0.08270553117007706,0.04308832604178281,0.06334380141463794,0.09628772986256762,0.13617640218844007,0.010877430974428485,0.15485987559030734,1.0,0.0,0.1988213025896928,-0.11823016610861525
10,591,11,"Product sourcing, access and location questions",views_per_day,100,0.08561181860169813,0.08354303982513418,0.04342534859416784,0.0654588660722695,0.0979183693603524,0.13168866372948923,0.0038727767590605163,0.13703343819496352,1.0,0.0,0.1890507753731534,-0.10343895677145527
10,591,12,Roof and attic ventilation and airflow,api_comment_count,100,0.022907931917257263,0.024974325292885225,-0.006283856442108379,0.012264605590996316,0.0376883857187647,0.06160758739155535,-0.02693051443424698,0.09471806838788695,0.93,0.07,0.0707083111855555,-0.047800379268298235
10,591,12,Roof and attic ventilation and airflow,api_comments_per_1000_views,100,-0.0424198548947799,-0.04237508635692124,-0.07423685819776014,-0.05633881439316049,-0.030243828333278343,-0.012208030638330081,-0.08926303941421901,0.0022124772228434416,0.02,0.98,-0.0588627860416555,0.016442931146875596
10,591,12,Roof and attic ventilation and airflow,api_comments_per_day,100,0.04993461660464572,0.05077474731289558,0.013871937410801526,0.03878012413493674,0.060605900520891355,0.10073765369363791,0.003170908515928252,0.11598794587784379,1.0,0.0,0.0960230298266949,-0.046088413222049186
10,591,12,Roof and attic ventilation and airflow,duration_minutes,100,-0.1123800204206401,-0.11174671257861074,-0.14808487877729243,-0.12612336254317683,-0.09686967571421666,-0.07658776782901296,-0.14936253464990584,-0.06198221946068548,0.0,1.0,-0.1269558416755364,0.014575821254896287
10,591,12,Roof and attic ventilation and airflow,like_count,100,0.03723507960076552,0.03573058187691096,0.00119255807557534,0.021357761545648158,0.047535206789974305,0.07756236551565643,-0.011634592947524782,0.08285440442548131,0.97,0.03,0.0823591174513541,-0.045124037850588584
10,591,12,Roof and attic ventilation and airflow,likes_per_1000_views,100,-0.022612234976812758,-0.023204475598087818,-0.059147400488651275,-0.03428003808996431,-0.011938379904824535,0.015275010560184665,-0.06566945148339157,0.030046226607395175,0.08,0.92,-0.018011642261145,-0.004600592715667758
10,591,12,Roof and attic ventilation and airflow,view_count,100,0.04003531191582347,0.0400649181391109,0.0036803407933520453,0.024855212383081852,0.05313932888727105,0.0818136207911189,0.0009382638108382549,0.09228004889420391,1.0,0.0,0.0846708878714384,-0.044635575955614924
10,591,12,Roof and attic ventilation and airflow,views_per_day,100,0.06571445294430844,0.06705701800343704,0.03286311549022083,0.05442604230641149,0.08000239652406418,0.10368866379237898,0.01999795372753086,0.125606246774446,1.0,0.0,0.1158650950701195,-0.05015064212581105
10,591,13,"Wall, cavity and floor insulation",api_comment_count,100,-0.04702060474654586,-0.04859211758126759,-0.0794145354392548,-0.060694512758167604,-0.03795866209745018,-0.020670799622920358,-0.08468013460923832,-0.014628797468472883,0.0,1.0,-0.0124324231949477,-0.03458818155159816
10,591,13,"Wall, cavity and floor insulation",api_comments_per_1000_views,100,-0.024223162528791455,-0.02545419335816925,-0.05839890885985252,-0.03568085029257808,-0.015087748615086844,0.0040695725104063305,-0.05910571699244259,0.014035573893888112,0.06,0.94,-0.0195580320063831,-0.004665130522408356
10,591,13,"Wall, cavity and floor insulation",api_comments_per_day,100,-0.023328375509073178,-0.02309058621582003,-0.05126187893678508,-0.0346393349202726,-0.01364144891585792,0.005831585620536281,-0.070460172645523,0.012341739913881253,0.09,0.91,0.0074304279362256,-0.030758803445298778
10,591,13,"Wall, cavity and floor insulation",duration_minutes,100,-0.07542599286888482,-0.0741507501872261,-0.1034666790811259,-0.08365080405420607,-0.06144989261143238,-0.046223405100264646,-0.11493425903941693,-0.04392260648747791,0.0,1.0,-0.0735767359250545,-0.001849256943830327
