candidate_topic_count,first_run,second_run,mean_matched_cosine,median_matched_cosine,minimum_matched_cosine,mean_top_20_jaccard,minimum_top_20_jaccard
16,1,8,0.8882839047356326,0.9932813266583455,0.02930841286748715,0.6658071113936641,0.05263157894736842
16,1,9,0.9299901632873526,0.9968031980246792,0.029896166088419825,0.7380002244132678,0.02564102564102564
16,1,10,0.9224121619612,0.9954770582551644,0.5416792964076016,0.6683327896643114,0.08108108108108109
16,2,3,0.9204673897765069,0.9931253218006637,0.051551703125124713,0.7080231765014374,0.02564102564102564
16,2,4,0.8571830145735213,0.9922437171729979,0.06719656481163395,0.611760712590232,0.02564102564102564
16,2,5,0.8592741143759015,0.9698714081200155,0.0156955973669799,0.5973790881586982,0.02564102564102564
16,2,6,0.9290697592825442,0.9956522347031327,0.018090254707474124,0.7600007279355105,0.02564102564102564
16,2,7,0.9267718876265405,0.9933052775041744,0.016163382008845432,0.7360288664636491,0.02564102564102564
16,2,8,0.9277809869991956,0.9957190480995617,0.022024144077998097,0.770775420231942,0.02564102564102564
16,2,9,0.9217037095226625,0.9935643513423436,0.050593090622806126,0.6898828828176655,0.02564102564102564
16,2,10,0.8881489954170496,0.9858001834143266,0.025439196273224638,0.6623274240452494,0.05263157894736842
16,3,4,0.931167543422226,0.9972451740519941,0.019290072234660605,0.7583172262520088,0.02564102564102564
16,3,5,0.9248394319453127,0.9944807402894096,0.01848144969416458,0.6872388481084133,0.0
16,3,6,0.9508328637963198,0.9943152591959482,0.460525033896023,0.7406808770939206,0.21212121212121213
16,3,7,0.9493833837545885,0.9923770280569699,0.4778412149689918,0.7430349039044691,0.21212121212121213
16,3,8,0.9544403465767888,0.9946355449730961,0.5014825930553988,0.7609142668925277,0.21212121212121213
16,3,9,0.9958306036811003,0.9971784840124587,0.986745761171514,0.8215462074157727,0.7391304347826086
16,3,10,0.8976615258884659,0.994101622964445,0.016609365974402865,0.6874219027751636,0.0
16,4,5,0.860030513596937,0.9943606383331745,0.019043111849650716,0.6458938203503422,0.0
16,4,6,0.884938490624245,0.9933418050096793,0.33863211956254186,0.6424656163786597,0.08108108108108109
16,4,7,0.8842884127362838,0.9920392694242188,0.0355015461716423,0.6748635422548466,0.0
16,4,8,0.8882196283883355,0.9935931796121295,0.025249103777898345,0.6709861193556845,0.02564102564102564
16,4,9,0.9288917124306142,0.9968150074301143,0.025557870626092823,0.7254457499022716,0.0
16,4,10,0.9222443112934191,0.9959363133242871,0.542939181377768,0.6687827020707455,0.08108108108108109
16,5,6,0.9270943150722231,0.9924110461591875,0.3927189629396018,0.7049640478988305,0.08108108108108109
16,5,7,0.9391916675500058,0.9891341512202683,0.5510686742560778,0.6834367146067913,0.17647058823529413
16,5,8,0.9333386896564416,0.9910822620287318,0.473569360202081,0.6814320066238224,0.08108108108108109
16,5,9,0.9212955049856856,0.9913613246921038,0.022839594928199727,0.6951510446075664,0.0
16,5,10,0.8321294123493932,0.9784097062335941,0.023834336885881203,0.5510859531570393,0.0
16,6,7,0.9950985249831046,0.9968421248162211,0.9773480534088528,0.8403891398456615,0.6
16,6,8,0.996766075691309,0.9971317591578029,0.9913152166065692,0.8544960474308301,0.6666666666666666
16,6,9,0.9531228624785161,0.9955372571092216,0.4804591121036116,0.7757987031084858,0.25
16,6,10,0.8629458144167944,0.9901578676755656,0.35195483660905125,0.6249991297688666,0.05263157894736842
16,7,8,0.9968140649496323,0.9972440173805404,0.9902336076649662,0.8281432335780162,0.6
16,7,9,0.9536481890602853,0.9932738775333634,0.5001781469043525,0.7550900639215857,0.25
16,7,10,0.8659390743340412,0.9903149709045006,0.016704581940657826,0.6390246478561695,0.0
16,8,9,0.9573863163130412,0.9955601501500291,0.5219075840124779,0.7833744606842432,0.25
16,8,10,0.8653241185847182,0.9906856270582116,0.016151438612874713,0.6279548627562122,0.0
16,9,10,0.9027621102652905,0.9953355290040382,0.016901204431871868,0.7196561013324507,0.0
