minimum_modelled_comments,eligible_videos,topic_number,topic_label,topic_type,metric,metric_family,valid_n,spearman_rho,p_value_raw,p_value_bh_fdr
5,789,3,Clarification and specification questions,knowledge_sharing_behaviour,api_comments_per_1000_views,discussion_rate,789,-0.19874683275556804,1.8017320133349854e-08,5.866035255450782e-08
5,789,3,Clarification and specification questions,knowledge_sharing_behaviour,views_per_day,age_normalised_provisional,789,0.10753141469151876,0.0024908552760133118,0.005693383488030427
5,789,3,Clarification and specification questions,knowledge_sharing_behaviour,api_comments_per_day,age_normalised_provisional,789,-0.018520003300457496,0.6034603424468166,0.8046137899290887
5,789,4,"Implementation, cost and how-to questions",knowledge_sharing_behaviour,duration_minutes,video_context,789,0.02196262350567876,0.5378895589656506,0.6147309245321722
5,789,4,"Implementation, cost and how-to questions",knowledge_sharing_behaviour,view_count,reach,789,0.040028053815079775,0.26142846463166347,0.3217581103158935
5,789,4,"Implementation, cost and how-to questions",knowledge_sharing_behaviour,like_count,reach,789,0.03858981578774673,0.27896841529790545,0.37195788706387395
5,789,4,"Implementation, cost and how-to questions",knowledge_sharing_behaviour,api_comment_count,discussion_volume,789,0.02103819626096723,0.5551414946541297,0.5921509276310716
5,789,4,"Implementation, cost and how-to questions",knowledge_sharing_behaviour,likes_per_1000_views,engagement_rate,789,-0.0007955130335893879,0.9822007865435561,0.9997807735890272
5,789,4,"Implementation, cost and how-to questions",knowledge_sharing_behaviour,api_comments_per_1000_views,discussion_rate,789,-0.04053620640994055,0.2554172519188313,0.3405563358917751
5,789,4,"Implementation, cost and how-to questions",knowledge_sharing_behaviour,views_per_day,age_normalised_provisional,789,0.006613081109448982,0.8528656556925861,0.8528656556925861
5,789,4,"Implementation, cost and how-to questions",knowledge_sharing_behaviour,api_comments_per_day,age_normalised_provisional,789,-0.014000033019312446,0.6945819116388189,0.847199328210791
5,789,5,Heat pumps and heating systems,technical_subject,duration_minutes,video_context,789,0.24971171152100993,1.1102363109067223e-12,5.921260324835853e-12
5,789,5,Heat pumps and heating systems,technical_subject,view_count,reach,789,-0.07444310341770044,0.036561310106197176,0.06499788463323943
5,789,5,Heat pumps and heating systems,technical_subject,like_count,reach,789,0.005894148408506094,0.8687074415417941,0.8808220866835899
5,789,5,Heat pumps and heating systems,technical_subject,api_comment_count,discussion_volume,789,0.1502089672512791,2.269187152396235e-05,6.0511657397232934e-05
5,789,5,Heat pumps and heating systems,technical_subject,likes_per_1000_views,engagement_rate,789,0.1981691261510496,1.984615515578105e-08,1.0584616083083227e-07
5,789,5,Heat pumps and heating systems,technical_subject,api_comments_per_1000_views,discussion_rate,789,0.2527242132434772,5.811790250833909e-13,3.0996214671114185e-12
5,789,5,Heat pumps and heating systems,technical_subject,views_per_day,age_normalised_provisional,789,-0.05004769891911649,0.1601853675305976,0.2135804900407968
5,789,5,Heat pumps and heating systems,technical_subject,api_comments_per_day,age_normalised_provisional,789,0.1585256031688869,7.673038203564604e-06,1.7538373036719096e-05
5,789,6,"Praise, gratitude and social endorsement",social_interaction,duration_minutes,video_context,789,0.47349338226191606,2.4776383524366688e-45,3.96422136389867e-44
5,789,6,"Praise, gratitude and social endorsement",social_interaction,view_count,reach,789,-0.11320060791805428,0.0014479925328576124,0.002905812801419408
5,789,6,"Praise, gratitude and social endorsement",social_interaction,like_count,reach,789,-0.028072945193298064,0.43101848614570903,0.5304842906408727
5,789,6,"Praise, gratitude and social endorsement",social_interaction,api_comment_count,discussion_volume,789,0.12248023184439796,0.0005649639977398087,0.0010043804404263265
5,789,6,"Praise, gratitude and social endorsement",social_interaction,likes_per_1000_views,engagement_rate,789,0.1959452919881062,2.8716399217123898e-08,1.1486559686849559e-07
5,789,6,"Praise, gratitude and social endorsement",social_interaction,api_comments_per_1000_views,discussion_rate,789,0.30402330525589005,2.4629814935689776e-18,3.940770389710364e-17
5,789,6,"Praise, gratitude and social endorsement",social_interaction,views_per_day,age_normalised_provisional,789,-0.20534904974248852,5.846890398006181e-09,3.118341545603297e-08
5,789,6,"Praise, gratitude and social endorsement",social_interaction,api_comments_per_day,age_normalised_provisional,789,0.01154892843767914,0.7460167743398913,0.847199328210791
5,789,7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,duration_minutes,video_context,789,-0.08445978488997907,0.01764986612727738,0.031377539781826454
5,789,7,"Alternative methods, challenges and ""why"" questions",knowledge_sharing_behaviour,view_count,reach,789,0.2008707397244713,1.2596539184172293e-08,6.718154231558557e-08
