topic_number,topic_label,metric,rho_all_nmf_videos,valid_n_all,rho_min_10_comments,valid_n_min_10,rho_change_min10_minus_all,absolute_rho_change
8,"Solar PV, batteries and power systems",views_per_day,0.1819661231078079,1158,0.07350668980985235,591,-0.10845943329795556,0.10845943329795556
8,"Solar PV, batteries and power systems",api_comments_per_day,0.286499951940091,1158,0.21938642479883821,591,-0.06711352714125277,0.06711352714125277
9,Performance checking and troubleshooting,duration_minutes,0.10424009417231032,1158,-0.09451679015063194,591,-0.19875688432294225,0.19875688432294225
9,Performance checking and troubleshooting,view_count,0.21288404874921157,1158,0.059330114335276504,591,-0.15355393441393506,0.15355393441393506
9,Performance checking and troubleshooting,like_count,0.20039359174924698,1158,-0.007736088330957385,591,-0.20812968008020435,0.20812968008020435
9,Performance checking and troubleshooting,api_comment_count,0.2910344029133244,1158,0.005248311545181929,591,-0.2857860913681425,0.2857860913681425
9,Performance checking and troubleshooting,likes_per_1000_views,0.03447019305675435,1158,-0.1059589925237882,591,-0.14042918558054254,0.14042918558054254
9,Performance checking and troubleshooting,api_comments_per_1000_views,0.07026897935130247,1158,-0.0726285370804858,591,-0.14289751643178827,0.14289751643178827
9,Performance checking and troubleshooting,views_per_day,0.18418071191184418,1158,-0.002933489283829127,591,-0.18711420119567332,0.18711420119567332
9,Performance checking and troubleshooting,api_comments_per_day,0.2609791922608604,1158,-0.060260352841872235,591,-0.32123954510273267,0.32123954510273267
10,"Implementation follow-up, outcomes and retrospective questions",duration_minutes,0.18365063140920668,1158,0.06813906175949774,591,-0.11551156964970893,0.11551156964970893
10,"Implementation follow-up, outcomes and retrospective questions",view_count,0.2595079630210484,1158,0.08560426554059866,591,-0.17390369748044973,0.17390369748044973
10,"Implementation follow-up, outcomes and retrospective questions",like_count,0.29062524092472414,1158,0.06825573708509537,591,-0.22236950383962878,0.22236950383962878
10,"Implementation follow-up, outcomes and retrospective questions",api_comment_count,0.3732441635518621,1158,0.10179191525836508,591,-0.271452248293497,0.271452248293497
10,"Implementation follow-up, outcomes and retrospective questions",likes_per_1000_views,0.16221950112530956,1158,-0.017180691647011123,591,-0.17940019277232067,0.17940019277232067
10,"Implementation follow-up, outcomes and retrospective questions",api_comments_per_1000_views,0.11789912244159231,1158,-0.06457228328733103,591,-0.18247140572892334,0.18247140572892334
10,"Implementation follow-up, outcomes and retrospective questions",views_per_day,0.26477431889023056,1158,0.065337948289854,591,-0.19943637060037656,0.19943637060037656
10,"Implementation follow-up, outcomes and retrospective questions",api_comments_per_day,0.3661023710377264,1158,0.06993089191747025,591,-0.29617147912025615,0.29617147912025615
11,"Product sourcing, access and location questions",duration_minutes,0.13315472229040146,1158,-0.049337885551384755,591,-0.18249260784178623,0.18249260784178623
11,"Product sourcing, access and location questions",view_count,0.3432510232299242,1158,0.19882130258969283,591,-0.14442972064023135,0.14442972064023135
11,"Product sourcing, access and location questions",like_count,0.3645769689900004,1158,0.1859927103442766,591,-0.1785842586457238,0.1785842586457238
11,"Product sourcing, access and location questions",api_comment_count,0.41094908555684934,1158,0.1490589831966325,591,-0.2618901023602168,0.2618901023602168
11,"Product sourcing, access and location questions",likes_per_1000_views,0.11978674584300712,1158,0.01285764404521516,591,-0.10692910179779197,0.10692910179779197
11,"Product sourcing, access and location questions",api_comments_per_1000_views,0.03009573329521553,1158,-0.14047560638156867,591,-0.1705713396767842,0.1705713396767842
11,"Product sourcing, access and location questions",views_per_day,0.3143175198214384,1158,0.1890507753731534,591,-0.125266744448285,0.125266744448285
11,"Product sourcing, access and location questions",api_comments_per_day,0.3587112321368812,1158,0.12114981711471429,591,-0.23756141502216693,0.23756141502216693
12,Roof and attic ventilation and airflow,duration_minutes,0.05091512159311383,1158,-0.1269558416755364,591,-0.1778709632686502,0.1778709632686502
12,Roof and attic ventilation and airflow,view_count,0.14658635259935024,1158,0.08467088787143849,591,-0.06191546472791175,0.06191546472791175
12,Roof and attic ventilation and airflow,like_count,0.18350553214861648,1158,0.0823591174513541,591,-0.10114641469726238,0.10114641469726238
12,Roof and attic ventilation and airflow,api_comment_count,0.239115877785357,1158,0.07070831118555558,591,-0.16840756659980144,0.16840756659980144
12,Roof and attic ventilation and airflow,likes_per_1000_views,0.14532824831474808,1158,-0.018011642261145076,591,-0.16333989057589315,0.16333989057589315
