video_id,topic_01_relative_weight,topic_02_relative_weight,topic_03_relative_weight,topic_04_relative_weight,topic_05_relative_weight,topic_06_relative_weight,topic_07_relative_weight,topic_08_relative_weight,topic_09_relative_weight,topic_10_relative_weight,topic_11_relative_weight,topic_12_relative_weight,topic_13_relative_weight,topic_14_relative_weight,topic_15_relative_weight,topic_16_relative_weight,modelled_comment_count,dominant_topic_number,secondary_topic_number,dominant_topic_label,dominant_relative_weight,secondary_relative_weight,dominance_margin,effective_topic_count,creator_type,video_type,_video_publication_date,publication_year,duration_minutes,view_count,like_count,api_comment_count,likes_per_1000_views,api_comments_per_1000_views,views_per_day,api_comments_per_day
0qc4CliDuLo,0.0673028130467806,0.0025050076923922,0.0535823127349876,0.0049739868987185,0.1249416979124143,0.0027049750045443,0.2339581111156614,0.0229491141231224,0.1471370555760922,0.0034724934588556,0.0,0.1707042612924637,0.1015815590216041,0.0025032506193986,0.0079130967192375,0.0537702647837262,6,7,12,"Alternative methods, challenges and ""why"" questions",0.2339581111156614,0.1707042612924637,0.0632538498231976,8.400780129416358,installer_tradesperson,how_to_installation_demo,2019-04-15 03:58:16+00:00,2019,1.4833333333333334,68716,106,13,1.5425810582688166,0.1891844694103265,25.871987951807228,0.004894578313253
0sVRsjU8PlA,0.1792195139613919,0.0105955378582256,0.1354199179686379,0.0853912829401878,0.0154767721589606,0.0937479936055564,0.014279306714675,0.0136195133919073,0.074169461926222,0.0735640637410913,0.0305036272188699,0.0747457711498298,0.1380676317438194,0.018685494276671,0.0199636801462379,0.0225504311977155,20,1,13,Situated household retrofit experience and building context,0.1792195139613919,0.1380676317438194,0.0411518822175724,11.46601880478933,diy_renovator_homeowner,how_to_installation_demo,2025-02-20 12:00:01+00:00,2025,5.4,40367,545,92,13.501127158322392,2.2790893551663487,77.92857142857143,0.1776061776061776
0z7OdJe7AQc,0.1171943989178791,0.001438631266019,0.0413846293131653,0.05059973195659,0.211774142207889,0.201564687516089,0.1460216305306018,0.0043642733174858,0.0395352381948533,0.0499962094992051,0.0108268333722013,0.0126350341504215,0.0021750211665116,0.0600608754528551,0.005959513796773,0.0444691493414592,23,5,6,Heat pumps and heating systems,0.211774142207889,0.201564687516089,0.0102094546918,9.324211709269663,installer_tradesperson,how_to_installation_demo,2022-05-23 07:33:33+00:00,2022,27.05,79706,1426,74,17.890748500740223,0.928411913783153,52.369250985545335,0.0486202365308804
0zASbMENdCk,0.1528979545023157,0.0026880781392565,0.0500477150470461,0.0346830184254756,0.2679971123810227,0.043384337218908,0.0519752032551745,0.0853540189114008,0.0752746112468082,0.0408885778966273,0.033458514127627,0.0335495585831256,0.0042620589363893,0.0471281324851899,0.0048171031475333,0.0715940056960987,47,5,1,Heat pumps and heating systems,0.2679971123810227,0.1528979545023157,0.115099157878707,10.558998599821477,training_educational,how_to_installation_demo,2025-11-30 23:00:05+00:00,2025,6.383333333333334,49705,1239,153,24.92706971129665,3.0781611507896587,211.51063829787236,0.6510638297872341
1-diFUZo_Cc,0.0,0.274057255461482,0.004056336966998,0.4664643941162543,0.0104554773793178,0.0,0.024793683538073,0.0288559693786624,0.0,0.0134887424267033,0.0,0.0,0.1380275538150756,0.0122522118792796,0.0275483750381536,0.0,2,4,2,"Implementation, cost and how-to questions",0.4664643941162543,0.274057255461482,0.1924071386547723,4.3006067534505545,installer_tradesperson,how_to_installation_demo,2023-06-07 21:15:47+00:00,2023,0.3,35003,229,8,6.542296374596463,0.2285518384138502,30.65061295971979,0.0070052539404553
19_ub9qiqZA,0.0829628124412989,0.0035443982563838,0.2687718067966277,0.0048524507636214,0.0,0.1292464567087456,0.0,0.0,0.4675181908443429,0.0,0.0021560391065293,0.0,0.0133424570454338,0.0104328964189908,0.0171724916180253,0.0,2,9,3,Performance checking and troubleshooting,0.4675181908443429,0.2687718067966277,0.1987463840477151,4.110949832739823,diy_renovator_homeowner,how_to_installation_demo,2025-04-08 20:49:03+00:00,2025,1.25,27668,369,5,13.336706664739047,0.1807141824490386,58.74309978768577,0.0106157112526539
1EsMv9NLf3c,0.0768574556368989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0431653110562398,0.0,0.0,0.0,0.5989079986087972,0.0,0.0,0.2810692346980639,1,13,16,"Wall, cavity and floor insulation",0.5989079986087972,0.2810692346980639,0.3178387639107332,2.709072302244627,installer_tradesperson,how_to_installation_demo,2022-01-09 17:54:58+00:00,2022,2.033333333333333,1320,18,13,13.636363636363637,9.848484848484848,0.7971014492753623,0.0078502415458937
1FuGf05MoGM,0.0842168606058337,0.0026544234138158,0.0131489733589674,0.1588061005112065,0.0,0.0050639869296126,0.0036002108519117,0.0147882697202613,0.0,0.1568691028897555,0.0302535075827282,0.0586021156391011,0.2903811915520264,0.0493710155376281,0.0830483680973551,0.0491958733097962,4,13,4,"Wall, cavity and floor insulation",0.2903811915520264,0.1588061005112065,0.1315750910408198,8.22949427256484,diy_renovator_homeowner,how_to_installation_demo,2024-02-05 11:33:10+00:00,2024,0.4833333333333333,70197,301,23,4.287932532729318,0.3276493297434363,78.08342602892102,0.0255839822024471
1N_ZsLrfUJM,0.102070635143456,0.0014668713225591,0.0545482280728839,0.0307461253092913,0.0170843203047465,0.0378976805434015,0.0636751118850803,0.4896381151885434,0.0464196167951761,0.0266572621018901,0.0241584518112824,0.0178083136996913,0.0079840274800282,0.011599162848167,0.0047844413231447,0.0634616361706574,152,8,1,"Solar PV, batteries and power systems",0.4896381151885434,0.102070635143456,0.3875674800450874,6.810104271229965,training_educational,practical_advice_explainer,2024-04-29 08:00:01+00:00,2024,16.166666666666668,506645,6262,565,12.359739067789084,1.115179267534467,621.6503067484663,0.6932515337423313
1Y7d6Pa0ejQ,0.0690737519333379,0.0,0.0150240747588547,0.0504275370876682,0.0002793591426324,0.1325652958995084,0.0588230067387656,0.0134729678554897,0.1854124579128772,0.0240822516695539,0.0033327207260903,0.0525549048198689,0.2600519720410671,0.0125292138469312,0.109724709057646,0.0126457765097077,7,13,9,"Wall, cavity and floor insulation",0.2600519720410671,0.1854124579128772,0.0746395141281899,8.776239899884947,installer_tradesperson,how_to_installation_demo,2023-08-27 16:00:02+00:00,2023,10.55,17660,97,14,5.49263873159683,0.7927519818799547,16.644674835061263,0.0131950989632422
1kz1c-rZsDk,0.0342981355963513,0.0053595877025211,0.0629894221846993,0.0842578898875886,0.0059844751592372,0.0508041407623265,0.0634478564925962,0.503702947887864,0.0400011553397361,0.0257057918141854,0.0179878931648938,0.0055424783788615,0.0066233419557847,0.0600085325852097,0.0166323687409059,0.0166539823472381,91,8,4,"Solar PV, batteries and power systems",0.503702947887864,0.0842578898875886,0.4194450580002754,6.626116819995497,installer_tradesperson,how_to_installation_demo,2020-11-26 10:39:54+00:00,2020,10.216666666666669,1532662,11507,490,7.507852351007593,0.3197051926647885,742.209200968523,0.2372881355932203
1mJkjrwxdP4,0.0905523465240215,0.0036439479767897,0.0508934541268425,0.0375869423326856,0.0340598781545226,0.2495998872419377,0.0255594317046525,0.0262331889575803,0.0463020263533238,0.0316724562764521,0.0196732976379943,0.0262234549754526,0.0204064506457771,0.3012290982588422,0.0075982918165196,0.0287658470166051,146,14,6,Thermostat wiring and smart heating controls,0.3012290982588422,0.2495998872419377,0.0516292110169044,8.740692431825583,training_educational,how_to_installation_demo,2020-04-11 14:15:00+00:00,2020,20.183333333333334,2192168,27579,1211,12.580696369986242,0.5524211648012378,955.6094158674804,0.527898866608544
1nQ7k_X2aXA,0.0818390701123004,0.0047027998313553,0.0476177216493675,0.0492700780989752,0.2483384401275871,0.1017628240065742,0.0317403360081554,0.03173214029903,0.0635910951097182,0.0180322790443547,0.0191219838703611,0.0555763085683059,0.0074916196523425,0.1704791118395897,0.0066954636235443,0.0620087281584377,82,5,14,Heat pumps and heating systems,0.2483384401275871,0.1704791118395897,0.0778593282879974,10.474170372559668,training_educational,practical_advice_explainer,2020-07-04 11:00:01+00:00,2020,19.48333333333333,546451,9568,329,17.509346675182222,0.6020667909840041,247.26289592760185,0.1488687782805429
