dominant_topic_number,dominant_topic_label,secondary_topic_number,secondary_topic_label,comment_count,share_of_all_comments,share_within_dominant_topic,mean_secondary_relative_weight,median_secondary_relative_weight,mean_dominance_margin
14,Thermostat wiring and smart heating controls,12,Roof and attic ventilation and airflow,49,0.0011544895506915157,0.026587086272381984,0.19039597448693218,0.18646954800803472,0.37759244527304126
16,"Prospective choices, recommendations and alternatives",11,"Product sourcing, access and location questions",48,0.0011309285394529133,0.017837235228539576,0.24597361598704295,0.24862155285170798,0.14816632431536306
15,Vapour barriers and moisture control,10,"Implementation follow-up, outcomes and retrospective questions",48,0.0011309285394529133,0.03,0.2266096032826941,0.21550175173313507,0.24167437624223864
15,Vapour barriers and moisture control,11,"Product sourcing, access and location questions",47,0.001107367528214311,0.029375,0.2043905641021534,0.19611640965459196,0.3044419329811457
9,Performance checking and troubleshooting,11,"Product sourcing, access and location questions",46,0.0010838065169757086,0.0188911704312115,0.24819173472839307,0.2391478278665078,0.17848129565986148
2,Spray foam and foam insulation,4,"Implementation, cost and how-to questions",46,0.0010838065169757086,0.028117359413202935,0.1656135775012946,0.20353551084086152,0.49109110779853876
4,"Implementation, cost and how-to questions",15,Vapour barriers and moisture control,46,0.0010838065169757086,0.019417475728155338,0.14561596421091674,0.12538106121981715,0.45798377832602094
10,"Implementation follow-up, outcomes and retrospective questions",11,"Product sourcing, access and location questions",44,0.001036684494498504,0.025670945157526253,0.26819462124122473,0.25483586294117844,0.11442219975645583
11,"Product sourcing, access and location questions",5,Heat pumps and heating systems,44,0.001036684494498504,0.04218600191754554,0.22593486405118243,0.2617248856533384,0.2570227831518096
8,"Solar PV, batteries and power systems",13,"Wall, cavity and floor insulation",44,0.001036684494498504,0.012941176470588235,0.19325584473496923,0.20104526732634997,0.34121550568774356
7,"Alternative methods, challenges and ""why"" questions",11,"Product sourcing, access and location questions",43,0.0010131234832599016,0.02451539338654504,0.22127011574258607,0.24682547494319734,0.28670988747391063
10,"Implementation follow-up, outcomes and retrospective questions",2,Spray foam and foam insulation,42,0.0009895624720212993,0.024504084014002333,0.2916815249635575,0.29342949613606106,0.12653730375158304
2,Spray foam and foam insulation,11,"Product sourcing, access and location questions",41,0.0009660014607826968,0.02506112469437653,0.149369501120904,0.16958476568736858,0.48708987806436616
11,"Product sourcing, access and location questions",14,Thermostat wiring and smart heating controls,40,0.0009424404495440945,0.038350910834132314,0.2052565179051597,0.21734712379404741,0.380290747340874
3,Clarification and specification questions,7,"Alternative methods, challenges and ""why"" questions",40,0.0009424404495440945,0.014255167498218105,0.13984514980012003,0.14625976715171723,0.4476896126872618
9,Performance checking and troubleshooting,15,Vapour barriers and moisture control,38,0.0008953184270668898,0.015605749486652977,0.152729244231674,0.1284899633203015,0.44519310972196596
9,Performance checking and troubleshooting,10,"Implementation follow-up, outcomes and retrospective questions",37,0.0008717574158282873,0.015195071868583163,0.2529214092338717,0.257425846842214,0.17632155373901937
5,Heat pumps and heating systems,15,Vapour barriers and moisture control,37,0.0008717574158282873,0.012478920741989882,0.13578468479540776,0.12768405867606714,0.4430235034216281
15,Vapour barriers and moisture control,4,"Implementation, cost and how-to questions",36,0.000848196404589685,0.0225,0.22743535685467936,0.20505165013347892,0.31138908351273253
4,"Implementation, cost and how-to questions",7,"Alternative methods, challenges and ""why"" questions",36,0.000848196404589685,0.015196285352469396,0.14196312139529785,0.12240711558743642,0.49952771686965236
3,Clarification and specification questions,4,"Implementation, cost and how-to questions",35,0.0008246353933510826,0.012473271560940842,0.2403966300459643,0.2309217093472462,0.17956661506675076
6,"Praise, gratitude and social endorsement",2,Spray foam and foam insulation,35,0.0008246353933510826,0.009333333333333334,0.20892438771229915,0.24926819560501706,0.3616773881245227
4,"Implementation, cost and how-to questions",2,Spray foam and foam insulation,34,0.0008010743821124803,0.014352047277332207,0.24225067370854755,0.2757162683725216,0.2874382398126375
7,"Alternative methods, challenges and ""why"" questions",2,Spray foam and foam insulation,32,0.0007539523596352756,0.018244013683010263,0.3023310420346623,0.27403203461812864,0.1893656524032481
2,Spray foam and foam insulation,5,Heat pumps and heating systems,26,0.0006125862922036614,0.01589242053789731,0.19293164124184198,0.19944648054080322,0.3762366909877427
3,Clarification and specification questions,10,"Implementation follow-up, outcomes and retrospective questions",25,0.000589025280965059,0.008909479686386316,0.24224393826886442,0.2591247459522239,0.24196609022553336
14,Thermostat wiring and smart heating controls,15,Vapour barriers and moisture control,24,0.0005654642697264567,0.013022246337493217,0.10434319825005996,0.10688841734079774,0.5010087755001964
15,Vapour barriers and moisture control,5,Heat pumps and heating systems,19,0.0004476592135334449,0.011875,0.19501087123253574,0.20296703772032612,0.20714389529769325
11,"Product sourcing, access and location questions",15,Vapour barriers and moisture control,19,0.0004476592135334449,0.01821668264621285,0.1030787332453788,0.09248558740390805,0.5732161228846503
15,Vapour barriers and moisture control,14,Thermostat wiring and smart heating controls,18,0.0004240982022948425,0.01125,0.11540014342977556,0.1281608686400208,0.5045696232316552
11,"Product sourcing, access and location questions",2,Spray foam and foam insulation,16,0.0003769761798176378,0.015340364333652923,0.3001430405711406,0.3070249542519625,0.15914775108789736
2,Spray foam and foam insulation,14,Thermostat wiring and smart heating controls,16,0.0003769761798176378,0.009779951100244499,0.11175421250601347,0.10358170668393346,0.6473027925770128
10,"Implementation follow-up, outcomes and retrospective questions",15,Vapour barriers and moisture control,13,0.0003062931461018307,0.007584597432905484,0.1405449538483053,0.11036602930306333,0.43217975295243705
11,"Product sourcing, access and location questions",7,"Alternative methods, challenges and ""why"" questions",13,0.0003062931461018307,0.012464046021093002,0.11691429462833804,0.02007085065515498,0.6244060675430069
8,"Solar PV, batteries and power systems",2,Spray foam and foam insulation,11,0.000259171123624626,0.003235294117647059,0.12621804734278433,0.14424845969209174,0.5004378131066706
5,Heat pumps and heating systems,2,Spray foam and foam insulation,7,0.00016492707867021652,0.002360876897133221,0.19235870332324298,0.20949649031737747,0.3171922775828956
14,Thermostat wiring and smart heating controls,2,Spray foam and foam insulation,3,7.068303371580708e-05,0.0016277807921866521,0.012082375250832273,0.010946810250467226,0.963293563534218
