dominant_topic_number,dominant_topic_label,secondary_topic_number,secondary_topic_label,comment_count,share_of_all_comments,share_within_dominant_topic,mean_secondary_relative_weight,median_secondary_relative_weight,mean_dominance_margin
8,"Solar PV, batteries and power systems",14,Thermostat wiring and smart heating controls,185,0.004358787079141437,0.054411764705882354,0.16128171160241736,0.14806644252771228,0.4616966981426657
5,Heat pumps and heating systems,9,Performance checking and troubleshooting,184,0.004335226067902835,0.06205733558178752,0.21273482473877633,0.20738138892658825,0.2503086836579842
9,Performance checking and troubleshooting,14,Thermostat wiring and smart heating controls,180,0.004240982022948425,0.07392197125256673,0.2239360149306887,0.2210351554470827,0.30253888243726984
15,Vapour barriers and moisture control,1,Situated household retrofit experience and building context,180,0.004240982022948425,0.1125,0.18184769860364605,0.1785175378790358,0.3263531893986417
7,"Alternative methods, challenges and ""why"" questions",12,Roof and attic ventilation and airflow,178,0.00419386000047122,0.10148232611174458,0.2199903275344393,0.23177179912791462,0.3892982630229559
12,Roof and attic ventilation and airflow,3,Clarification and specification questions,175,0.004123176966755413,0.04313532166625585,0.2620245462831119,0.2616334753082299,0.2103142789366644
16,"Prospective choices, recommendations and alternatives",4,"Implementation, cost and how-to questions",174,0.004099615955516811,0.06465997770345597,0.28042185230154304,0.2789769505267627,0.10366784809207336
8,"Solar PV, batteries and power systems",12,Roof and attic ventilation and airflow,174,0.004099615955516811,0.051176470588235295,0.2211448125763403,0.20572977611597626,0.30924342307550295
9,Performance checking and troubleshooting,13,"Wall, cavity and floor insulation",173,0.0040760549442782085,0.07104722792607802,0.22975331986319034,0.24084454006453035,0.30433338269935234
13,"Wall, cavity and floor insulation",9,Performance checking and troubleshooting,173,0.0040760549442782085,0.05282442748091603,0.19848662394355696,0.18707704779559378,0.27657083947842753
9,Performance checking and troubleshooting,16,"Prospective choices, recommendations and alternatives",168,0.003958249888085197,0.06899383983572896,0.1927717350652936,0.19838531774987592,0.3314610050160757
14,Thermostat wiring and smart heating controls,5,Heat pumps and heating systems,166,0.003911127865607992,0.09007053716766142,0.23302245156639823,0.2299952143691801,0.26488047737031223
4,"Implementation, cost and how-to questions",14,Thermostat wiring and smart heating controls,165,0.0038875668543693893,0.06964964119881807,0.19214464049045393,0.18207777453636775,0.4263259816247858
12,Roof and attic ventilation and airflow,8,"Solar PV, batteries and power systems",162,0.0038168838206535825,0.03993098348533399,0.18417072002047533,0.1745352725687383,0.3922892808632358
2,Spray foam and foam insulation,16,"Prospective choices, recommendations and alternatives",162,0.0038168838206535825,0.09902200488997555,0.18260959793426054,0.1965789300592477,0.432018919415233
5,Heat pumps and heating systems,3,Clarification and specification questions,160,0.003769761798176378,0.05396290050590219,0.25782795060791897,0.2552729807245386,0.2111067675374776
10,"Implementation follow-up, outcomes and retrospective questions",6,"Praise, gratitude and social endorsement",159,0.0037462007869377752,0.0927654609101517,0.24351031287635075,0.25194581060603594,0.20119945072320863
3,Clarification and specification questions,5,Heat pumps and heating systems,159,0.0037462007869377752,0.05666429080541696,0.20470086728761172,0.22078894370239893,0.37434566904160266
6,"Praise, gratitude and social endorsement",10,"Implementation follow-up, outcomes and retrospective questions",156,0.0036755177532219684,0.0416,0.2423691649693636,0.2621448284820882,0.22564852357634882
5,Heat pumps and heating systems,14,Thermostat wiring and smart heating controls,156,0.0036755177532219684,0.05261382799325464,0.23069361062028731,0.24536174397100638,0.27986688179375574
7,"Alternative methods, challenges and ""why"" questions",13,"Wall, cavity and floor insulation",156,0.0036755177532219684,0.08893956670467502,0.2142213079642189,0.22471756862059708,0.40702542716147916
14,Thermostat wiring and smart heating controls,16,"Prospective choices, recommendations and alternatives",154,0.0036283957307447637,0.08355941399891481,0.2068040070703691,0.225614927142413,0.3605147389091491
13,"Wall, cavity and floor insulation",3,Clarification and specification questions,152,0.003581273708267559,0.046412213740458015,0.2652703479141647,0.2705785625634638,0.20985970913044083
