representation,candidate_topic_count,topic_number,term_rank,term,term_weight
inclusive_primary,10,3,19,know,0.08589740871729727
inclusive_primary,10,3,20,what type,0.08571406018819766
inclusive_primary,10,4,1,how,3.1831074249411824
inclusive_primary,10,4,2,how did,0.3969284438770205
inclusive_primary,10,4,3,cost,0.3712666871128442
inclusive_primary,10,4,4,how does,0.3386820099446075
inclusive_primary,10,4,5,did,0.31328058080692667
inclusive_primary,10,4,6,how long,0.24009817816823636
inclusive_primary,10,4,7,know,0.21613180561432363
inclusive_primary,10,4,8,does,0.20947325726636556
inclusive_primary,10,4,9,how would,0.207721007904566
inclusive_primary,10,4,10,long,0.19338549726588258
inclusive_primary,10,4,11,know how,0.15520585475861107
inclusive_primary,10,4,12,how cost,0.15428027643629882
inclusive_primary,10,4,13,how know,0.12213645554408618
inclusive_primary,10,4,14,video how,0.11007320144059739
inclusive_primary,10,4,15,how fix,0.09550856799905305
inclusive_primary,10,4,16,fix,0.09239021636523963
inclusive_primary,10,4,17,did cost,0.09223750026124078
inclusive_primary,10,4,18,does cost,0.07530493707041648
inclusive_primary,10,4,19,how install,0.0717943692317519
inclusive_primary,10,4,20,work,0.06657852598453778
inclusive_primary,10,5,1,heat,2.342636665130145
inclusive_primary,10,5,2,pump,1.5409255932536154
inclusive_primary,10,5,3,heat pump,1.4352903223419067
inclusive_primary,10,5,4,water,0.7432227451641111
inclusive_primary,10,5,5,heating,0.7114716489485893
inclusive_primary,10,5,6,gas,0.6186295035739436
inclusive_primary,10,5,7,boiler,0.5935216333157576
inclusive_primary,10,5,8,air,0.5178236343586845
inclusive_primary,10,5,9,pumps,0.5117958435304529
inclusive_primary,10,5,10,hot,0.5026420742449992
inclusive_primary,10,5,11,heat pumps,0.47798971049051375
inclusive_primary,10,5,12,temperature,0.43425143935707106
inclusive_primary,10,5,13,hot water,0.39749150167921427
inclusive_primary,10,5,14,cold,0.3452272157376912
inclusive_primary,10,5,15,radiators,0.3126108921545812
