candidate_topic_count,run_number,run_seed,reference_topic_number,matched_run_topic_number,cosine_similarity,top_20_term_jaccard,reference_dominant_share,run_dominant_share,prevalence_difference,absolute_prevalence_difference,reference_top_10_terms,run_top_10_terms
12,6,20381434,3,3,0.9992327433316631,0.8181818181818182,0.0769267016940367,0.07754609177121989,0.0006193900771831878,0.0006193900771831878,what | what would | what happens | happens | what brand | what did | using | know what | what kind | brand,what | what would | what happens | happens | what kind | know what | using | what brand | what did | brand
12,6,20381434,4,4,0.9941241073870565,0.9047619047619048,0.06820912753575384,0.06900512458031455,0.000795997044560709,0.000795997044560709,how | how did | did | cost | how does | how long | know | how would | long | know how,how | cost | how did | how does | how long | how would | know | long | how cost | know how
12,6,20381434,5,5,0.9984402882843376,1.0,0.07791626416605801,0.07775225304824174,-0.0001640111178162762,0.0001640111178162762,heat | pump | heat pump | water | heating | gas | boiler | pumps | heat pumps | hot,heat | pump | heat pump | gas | water | heating | boiler | pumps | heat pumps | hot
12,6,20381434,6,6,0.9989216426111986,0.9047619047619048,0.09803736776382442,0.10034163868763621,0.002304270923811788,0.002304270923811788,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | videos,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | informative
12,6,20381434,7,7,0.990068861873437,0.9047619047619048,0.05315364135428693,0.046651351828945045,-0.0065022895253418825,0.0065022895253418825,why | not | why not | use | did | why would | why did | did not | not just | not use,why | why not | not | why would | use | not just | why did | not use | just | did not
12,6,20381434,8,8,0.9974467454857563,0.9047619047619048,0.08562071484108098,0.08320080108381929,-0.0024199137572616936,0.0024199137572616936,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost
12,6,20381434,9,9,0.9896821017028564,0.8181818181818182,0.08545578776241076,0.0891500265064499,0.0036942387440391383,0.0036942387440391383,does | does not | wire | thermostat | not | work | wires | how does | boiler | need,does | not | does not | wire | thermostat | work | how does | not work | wires | does work
12,6,20381434,10,10,0.8056426604829373,0.48148148148148145,0.03642532337487925,0.04691641632797314,0.010491092953093889,0.010491092953093889,where | did | where did | buy | where buy | did not | where does | how did | link | know where,did | where | did not | where did | how did | buy | where buy | did use | why did | what did
12,6,20381434,11,12,0.9527876932165231,0.48148148148148145,0.09935678439318615,0.10690934794133239,0.007552563548146235,0.007552563548146235,insulation | wall | barrier | cavity | walls | floor | vapour | vapour barrier | vapor | wall insulation,insulation | wall | cavity | floor | walls | wall insulation | cavity wall | between | board | damp
12,6,20381434,12,11,0.9420302723706334,0.6,0.10435171877576986,0.08788360723331566,-0.0164681115424542,0.0164681115424542,air | roof | vents | attic | cold | vent | warm | ventilation | ridge | soffit,roof | air | barrier | cold | vents | attic | warm | vent | vapour | moisture
12,7,20381535,1,12,0.48835233380829873,0.17647058823529413,0.17105294159225315,0.108264122047476,-0.06278881954477715,0.06278881954477715,not | would | house | like | just | good | when | never | years | more,not | does | does not | work | know | did not | not know | just | not work | need
12,7,20381535,2,2,0.999150193425958,0.9047619047619048,0.04349362674645996,0.044707545502739,0.0012139187562790407,0.0012139187562790407,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | foam board | expanding
12,7,20381535,3,3,0.9991251130269001,0.7391304347826086,0.0769267016940367,0.08108028509159451,0.0041535833975578085,0.0041535833975578085,what | what would | what happens | happens | what brand | what did | using | know what | what kind | brand,what | what happens | happens | what would | know what | what brand | brand | what kind | what cost | what size
12,7,20381535,4,4,0.9926298937909794,0.8181818181818182,0.06820912753575384,0.07277493078871414,0.004565803252960299,0.004565803252960299,how | how did | did | cost | how does | how long | know | how would | long | know how,how | how does | how did | cost | does | how long | how would | know | long | how cost
12,7,20381535,5,8,0.9958071867267264,0.8181818181818182,0.07791626416605801,0.06184838310655593,-0.016067881059502083,0.016067881059502083,heat | pump | heat pump | water | heating | gas | boiler | pumps | heat pumps | hot,heat | pump | heat pump | heating | gas | water | pumps | heat pumps | boiler | hot
12,7,20381535,6,6,0.9964078261268533,0.6666666666666666,0.09803736776382442,0.09539376803911175,-0.0026435997247126752,0.0026435997247126752,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | videos,video | great | great video | thanks | thank | video thanks | thanks video | hi | videos | question
12,7,20381535,7,7,0.9533744943221225,0.7391304347826086,0.05315364135428693,0.04355893267361725,-0.00959470868066968,0.00959470868066968,why | not | why not | use | did | why would | why did | did not | not just | not use,why | why not | why would | use | why did | not just | not | just | not use | instead
12,7,20381535,8,9,0.7022073597075694,0.42857142857142855,0.08562071484108098,0.16869882782588208,0.0830781129848011,0.0830781129848011,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,would | solar | like | panels | battery | more | cost | never | power | use
12,7,20381535,9,5,0.5553239528822511,0.48148148148148145,0.08545578776241076,0.0536019320256818,-0.03185385573672896,0.03185385573672896,does | does not | wire | thermostat | not | work | wires | how does | boiler | need,thermostat | wire | boiler | wires | nest | connected | connect | red | smart | blue
12,7,20381535,10,10,0.9157775603274955,0.6666666666666666,0.03642532337487925,0.04514931966778583,0.008723996292906579,0.008723996292906579,where | did | where did | buy | where buy | did not | where does | how did | link | know where,where | did | did not | where did | buy | how did | where buy | did use | why did | what did
12,7,20381535,11,11,0.9919902444437035,0.7391304347826086,0.09935678439318615,0.12284266949402133,0.02348588510083517,0.02348588510083517,insulation | wall | barrier | cavity | walls | floor | vapour | vapour barrier | vapor | wall insulation,insulation | wall | barrier | cavity | floor | walls | vapour | vapor | vapour barrier | between
12,7,20381535,12,1,0.8217156156184589,0.2903225806451613,0.10435171877576986,0.1020792837368204,-0.002272435038949458,0.002272435038949458,air | roof | vents | attic | cold | vent | warm | ventilation | ridge | soffit,air | house | roof | cold | vents | attic | no | warm | vent | when
12,8,20381636,1,1,0.9963729192942563,1.0,0.17105294159225315,0.17326382753136596,0.002210885939112811,0.002210885939112811,not | would | house | like | just | good | when | never | years | more,not | would | house | like | just | good | never | years | when | more
12,8,20381636,2,5,0.9993999143718065,1.0,0.04349362674645996,0.040702126406314425,-0.002791500340145532,0.002791500340145532,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | cell | use | foam insulation | closed cell | closed | expanding | foam board
12,8,20381636,3,3,0.9991879818606009,0.8181818181818182,0.0769267016940367,0.0774282853272074,0.0005015836331706963,0.0005015836331706963,what | what would | what happens | happens | what brand | what did | using | know what | what kind | brand,what | what happens | what would | happens | what kind | know what | what brand | brand | kind | using
12,8,20381636,4,4,0.9936297063419163,0.8181818181818182,0.06820912753575384,0.0685338988042646,0.00032477126851075677,0.00032477126851075677,how | how did | did | cost | how does | how long | know | how would | long | know how,how | cost | how did | how does | how long | know | how would | long | how cost | know how
12,8,20381636,5,8,0.9987184756396754,0.9047619047619048,0.07791626416605801,0.07913647876538847,0.0012202145993304575,0.0012202145993304575,heat | pump | heat pump | water | heating | gas | boiler | pumps | heat pumps | hot,heat | pump | heat pump | water | gas | heating | pumps | boiler | heat pumps | hot
12,8,20381636,6,6,0.9987123180479751,1.0,0.09803736776382442,0.09598280025917418,-0.0020545675046502454,0.0020545675046502454,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | videos,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | videos
12,8,20381636,7,7,0.9901518688663064,0.9047619047619048,0.05315364135428693,0.05065677092536962,-0.0024968704289173096,0.0024968704289173096,why | not | why not | use | did | why would | why did | did not | not just | not use,why | why not | not | use | why would | not just | why did | not use | just | did not
12,8,20381636,8,11,0.9979972921108313,0.9047619047619048,0.08562071484108098,0.06605996348000236,-0.019560751361078627,0.019560751361078627,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,solar | panels | battery | solar panels | power | panel | batteries | inverter | cost | grid
12,8,20381636,9,9,0.994059229143201,0.9047619047619048,0.08545578776241076,0.08493844613300347,-0.0005173416294072947,0.0005173416294072947,does | does not | wire | thermostat | not | work | wires | how does | boiler | need,does | thermostat | wire | does not | not | work | wires | boiler | need | nest
12,8,20381636,10,10,0.7839741873055349,0.3793103448275862,0.03642532337487925,0.0550745125758379,0.01864918920095865,0.01864918920095865,where | did | where did | buy | where buy | did not | where does | how did | link | know where,did | where | did not | where did | how did | buy | why did | what did | did use | where buy
12,8,20381636,11,2,0.9989477002517725,0.9047619047619048,0.09935678439318615,0.1049066383931201,0.005549853999933949,0.005549853999933949,insulation | wall | barrier | cavity | walls | floor | vapour | vapour barrier | vapor | wall insulation,insulation | wall | barrier | walls | cavity | floor | vapour | vapour barrier | vapor | between
12,8,20381636,12,12,0.9972122291704103,0.9047619047619048,0.10435171877576986,0.10331625139895152,-0.0010354673768183387,0.0010354673768183387,air | roof | vents | attic | cold | vent | warm | ventilation | ridge | soffit,air | roof | cold | vents | attic | vent | warm | ridge | ventilation | soffit
12,9,20381737,1,1,0.8708106451691867,0.3793103448275862,0.17105294159225315,0.15921540908287685,-0.011837532509376303,0.011837532509376303,not | would | house | like | just | good | when | never | years | more,would | like | not | solar | just | more | house | never | years | panels
12,9,20381737,2,3,0.9991691047566174,0.9047619047619048,0.04349362674645996,0.03881722330211462,-0.004676403444345334,0.004676403444345334,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | foam board | expanding
12,9,20381737,3,2,0.9988476742136418,0.8181818181818182,0.0769267016940367,0.0708311244625081,-0.006095577231528607,0.006095577231528607,what | what would | what happens | happens | what brand | what did | using | know what | what kind | brand,what | what would | what brand | brand | using | what happens | happens | know what | what kind | what did
12,9,20381737,4,4,0.9911756596115646,0.7391304347826086,0.06820912753575384,0.061347705719502856,-0.006861421816250983,0.006861421816250983,how | how did | did | cost | how does | how long | know | how would | long | know how,how | cost | how did | how does | how long | know | how would | long | how cost | know how
12,9,20381737,5,8,0.9261191634281065,0.3793103448275862,0.07791626416605801,0.06067031866643106,-0.017245945499626956,0.017245945499626956,heat | pump | heat pump | water | heating | gas | boiler | pumps | heat pumps | hot,heat | pump | heat pump | pumps | heat pumps | gas | air | furnace | electric | loss
12,9,20381737,6,6,0.9983668792877363,0.8181818181818182,0.09803736776382442,0.09253696177180892,-0.005500405992015497,0.005500405992015497,video | great | great video | thanks | thank | video thanks | hi | thanks video | question | videos,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question
12,9,20381737,7,7,0.985369716724664,0.8181818181818182,0.05315364135428693,0.04232196501148613,-0.0108316763428008,0.0108316763428008,why | not | why not | use | did | why would | why did | did not | not just | not use,why | why not | not | use | why would | not just | not use | why did | just | would not
12,9,20381737,8,10,0.022971640994062577,0.02564102564102564,0.08562071484108098,0.053101254638628734,-0.03251946020245225,0.03251946020245225,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,did | did not | how did | not | what did | why did | did use | where did | did cost | use
12,9,20381737,9,9,0.9330255339673375,0.6,0.08545578776241076,0.09109383283265594,0.005638045070245179,0.005638045070245179,does | does not | wire | thermostat | not | work | wires | how does | boiler | need,does | not | does not | work | wire | not work | how does | does work | thermostat | wires
