feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present
add,1,901,2.122847112598073,4.851326318930857,0.0031434303079177976,0.14807615156376813
ago,1,897,2.1134227081026316,4.855770770691281,0.0026998534246761114,0.12774791405075608
wood,1,891,2.0992861013594704,4.8624747064134715,0.003294741548216889,0.15694580867673336
ceiling,1,890,2.09693000023561,4.863596411522671,0.0031818502607491653,0.15173850631120991
issue,1,883,2.0804372923685883,4.871483776355838,0.0029519575071548453,0.1418912032572742
low,1,880,2.0733689889970077,4.874883213057302,0.002735596951312139,0.131939706141524
vent,1,876,2.063944584501567,4.879433846621298,0.003399045532385336,0.16468686019524068
small,1,876,2.063944584501567,4.879433846621298,0.0026827156354522997,0.12998002250628077
look,1,875,2.0615884833777067,4.880574748057089,0.003017785644347523,0.14638157268919078
summer,1,872,2.0545201800061257,4.884005283153879,0.002740011220215306,0.1333650186004567
big,1,870,2.0498079777584053,4.886298862140978,0.002955786982486324,0.14419823781341037
gap,1,869,2.047451876634545,4.8874476273448515,0.003267528008355154,0.15958997843339215
issues,1,867,2.0427396743868247,4.889749124333131,0.00286056477176075,0.1400356985096211
little,1,858,2.0215347642720825,4.900171917009226,0.002738595759238773,0.13547111865894085
running,1,847,1.99561765190962,4.913060203201578,0.0027162776752384706,0.13611212912650109
control,1,844,1.9885493485380392,4.916604211636307,0.0028848297198013654,0.14507207085015325
humidity,1,838,1.9744127417948778,4.923730132526275,0.003132094711338889,0.15863424323789554
seen,1,832,1.9602761350517164,4.930907196826638,0.0032980065316075974,0.1682419365637275
radiator,1,820,1.9320029215653935,4.945417729541052,0.0034558244365186265,0.1788726299501952
dry,1,818,1.9272907193176732,4.947856755140411,0.0027601545541685144,0.14321422951414944
end,1,817,1.924934618193813,4.9490785023907335,0.002874525825062031,0.14933108885325308
said,1,817,1.924934618193813,4.9490785023907335,0.0028090927682480494,0.14593185356517988
stuff,1,809,1.906085809202931,4.958906591326997,0.0032934335238499236,0.17278516570180755
during,1,808,1.9037297080790707,4.960141921934989,0.0025238668539798604,0.13257485257854854
place,1,806,1.8990175058313503,4.962617170723532,0.002740773592131519,0.14432587291667254
loft,1,804,1.89430530358363,4.9650985615749175,0.003386120711410072,0.17875263850046977
things,1,801,1.887237000212049,4.968832231126966,0.002615059845528064,0.13856552437421676
wrong,1,794,1.8707442923450275,4.977598724339149,0.0034997286491246973,0.18707680485491124
different,1,793,1.8683881912211673,4.978857377746346,0.0027841979738450705,0.14901603354843168
above,1,793,1.8683881912211673,4.978857377746346,0.0024986846812086404,0.13373477165767758
works,1,789,1.8589637867257263,4.983907893532414,0.0028407490859534983,0.15281357852360497
houses,1,789,1.8589637867257263,4.983907893532414,0.002757766717009808,0.14834967397978108
fan,1,788,1.856607685601866,4.985174518147607,0.0030474233880377474,0.1641393285006169
instead,1,787,1.8542515844780059,4.986442749135602,0.0028762940281913743,0.1551188658685216
turn,1,780,1.8377588766109842,4.995365689153795,0.0029852355715000167,0.16243891456560924
installation,1,778,1.8330466743632636,4.997929793122733,0.002927886362438522,0.15972786745627018
tape,1,776,1.8283344721155432,5.000500488625834,0.00422860939811593,0.23128204727349796
vapour,1,776,1.8283344721155432,5.000500488625834,0.003272183429949253,0.17897072334708267
would not,2,771,1.816553966496242,5.006956288968705,0.0027209600333020834,0.14978690881120665
thought,1,766,1.8047734608769408,5.013454037626225,0.002920631222434556,0.16182813443053506
area,1,766,1.8047734608769408,5.013454037626225,0.0026141902123980165,0.1448486621211606
maybe,1,763,1.7977051575053602,5.01737304982696,0.0025576799430276956,0.14227471798417365
actually,1,757,1.7835685507621988,5.025257453351109,0.002574383794322819,0.14433893181300317
below,1,752,1.7717880451428976,5.031875611193588,0.00238149446433896,0.1344119275930033
seal,1,747,1.7600075395235963,5.0385378610190035,0.0031858821757746575,0.18101525727764897
buy,1,745,1.755295337275876,5.04121523878972,0.0032820375497918043,0.18697922110847456
needs,1,743,1.7505831350281553,5.043899804160389,0.0024727847890541068,0.14125491897957398
temp,1,741,1.745870932780435,5.046591595826101,0.002583405702936999,0.14797231882558035
difference,1,740,1.7435148316565747,5.047940213697394,0.0026219726490546865,0.1503843042484163
mold,1,734,1.7293782249134133,5.056070339780645,0.0034603280716736986,0.20009087785564958
pumps,1,732,1.724666022665693,5.05879513710683,0.002596135369674358,0.1505297452118699
thermal,1,727,1.7128855170463917,5.065639790796795,0.0027436346646512507,0.16017618441787213
probably,1,719,1.6940367080555097,5.07668962698338,0.002280562353068897,0.13462295959847453
product,1,713,1.6799001013123482,5.085057876653897,0.003569615416005395,0.21248974348038846
working,1,713,1.6799001013123482,5.085057876653897,0.002648427061505224,0.15765384259672682
ac,1,712,1.677544000188488,5.086459418579185,0.002820947969786274,0.16815940264275117
systems,1,712,1.677544000188488,5.086459418579185,0.0023533543435857456,0.14028570000675533
far,1,710,1.6728317979407676,5.08926840919024,0.00229819276174025,0.13738337378386117
needed,1,709,1.6704756968169074,5.09067586895812,0.0024066961492639617,0.1440725030510724
ground,1,707,1.6657634945691868,5.0934967452997615,0.0026598140989386155,0.15967537454208156
uk,1,706,1.6634073934453266,5.094910173096908,0.0028134290785246756,0.16913650195442323
let,1,698,1.6445585844544448,5.106290096759671,0.0024568481367501314,0.14939255797720033
batteries,1,695,1.637490281082864,5.110591178659061,0.002967853044541915,0.181244009740277
cut,1,694,1.6351341799590038,5.112028993428689,0.0026951582540415404,0.16482795644997852
trying,1,690,1.625709775463563,5.117801015225811,0.0023092863889146117,0.14204788725319253
concrete,1,685,1.6139292698442618,5.125063211267595,0.00282935268867725,0.17530834476719492
type,1,685,1.6139292698442618,5.125063211267595,0.0026113771592464496,0.16180245367868185
smart,1,683,1.6092170675965412,5.127982921370931,0.002651867594917558,0.16479241044082857
problems,1,683,1.6092170675965412,5.127982921370931,0.0023362285887265216,0.14517796484819875
vapor,1,680,1.6021487642249606,5.132378532843968,0.002903974984604868,0.18125501510527117
costs,1,680,1.6021487642249606,5.132378532843968,0.002506639775469717,0.15645487057391352
rooms,1,680,1.6021487642249606,5.132378532843968,0.0022465967493324433,0.14022397916458368
makes,1,679,1.5997926631011004,5.133848040823328,0.0023664909258412207,0.1479248517901015
replace,1,675,1.5903682586056593,5.139747762950517,0.0026220549157211764,0.1648709285747465
boards,1,674,1.5880121574817991,5.141228148120951,0.0028084149227991786,0.1768509711696818
days,1,674,1.5880121574817991,5.141228148120951,0.002189296489305431,0.1378639627531015
coming,1,672,1.5832999552340787,5.144195509348753,0.0024112034031186624,0.15228974112881755
panel,1,671,1.5809438541102183,5.1456824984703315,0.00307110308262596,0.19425756801176397
brick,1,667,1.5715194496147775,5.151652665456835,0.0026475941039644456,0.16847351807280803
possible,1,665,1.566807247367057,5.154651168453092,0.002352479147739547,0.15014477062783396
bad,1,664,1.5644511462431967,5.156153798337627,0.0025392603149487344,0.16230997823398965
installing,1,664,1.5644511462431967,5.156153798337627,0.002411996310450077,0.1541752400669166
joists,1,662,1.5597389439954763,5.159165848807619,0.002685959165588087,0.17220568710733408
plastic,1,659,1.5526706406238955,5.16370100397301,0.0027472890478776983,0.17693958886050554
similar,1,659,1.5526706406238955,5.16370100397301,0.0023379305895265914,0.15057479212636893
thinking,1,658,1.5503145395000353,5.165217304490974,0.00228715170024361,0.14752823649458896
recommend,1,657,1.547958438376175,5.166735907668164,0.0027343400703826047,0.1766416980323423
cheap,1,654,1.5408901350045945,5.1713056033582285,0.0025809961821353857,0.16750033785683818
able,1,654,1.5408901350045945,5.1713056033582285,0.002233064380140007,0.14492041511663964
away,1,653,1.538534033880734,5.172833487536282,0.00217825420435598,0.14157985175418203
