video_id,topic_01_relative_weight,topic_02_relative_weight,topic_03_relative_weight,topic_04_relative_weight,topic_05_relative_weight,topic_06_relative_weight,topic_07_relative_weight,topic_08_relative_weight,topic_09_relative_weight,topic_10_relative_weight,topic_11_relative_weight,topic_12_relative_weight,topic_13_relative_weight,topic_14_relative_weight,topic_15_relative_weight,topic_16_relative_weight,modelled_comment_count,dominant_topic_number,secondary_topic_number,dominant_topic_label,dominant_relative_weight,secondary_relative_weight,dominance_margin,effective_topic_count,creator_type,video_type,_video_publication_date,publication_year
-qXLU6xjwFQ,0.05627103527825093,0.0012052412480869394,0.028085886209077045,0.07604400275057423,0.0032439102077507723,0.07012396331040593,0.012189413123334922,0.29655186276920126,0.19717873627294907,0.10342510871913801,0.0034696712741993222,0.01799669524204547,0.009860711138715917,0.07703465713542498,0.008716729505537923,0.03860237581530725,9,8,9,"Solar PV, batteries and power systems",0.29655186276920126,0.19717873627294907,0.09937312649625218,8.517969316498458,diy_renovator_homeowner,how_to_installation_demo,2024-05-23 15:00:00+00:00,2024
-rIyo6bh9A4,0.08043247869551565,0.008887159196008949,0.0750970205993239,0.04744101798927981,0.019659136622661815,0.1840894860455482,0.018591907224278413,0.009577665220362932,0.051756178722811595,0.015804732110400285,0.0017948522114403964,0.08784208050503796,0.3186972255121945,0.009851855282705078,0.047531646691239327,0.022945557371191232,10,13,6,"Wall, cavity and floor insulation",0.3186972255121945,0.1840894860455482,0.13460773946664628,8.813590220203743,training_educational,how_to_installation_demo,2019-04-17 20:30:01+00:00,2019
-vEJ_fthQFk,0.07188515124017324,0.0019130397698246618,0.07121535121021483,0.04304038538967262,0.0674560753169657,0.1806993779380275,0.030392912965481002,0.026352409265436787,0.037672236441016305,0.006913817709582999,0.0026669498667935983,0.011964896085965904,0.21297658319517415,0.01372668520754428,0.08080720744345189,0.14031692095467452,19,13,6,"Wall, cavity and floor insulation",0.21297658319517415,0.1806993779380275,0.03227720525714664,10.09036726458467,builder_contractor,how_to_installation_demo,2023-06-28 08:03:56+00:00,2023
-w5u3R5RELo,0.008546515741655996,0.0,0.0,0.1308363438239618,0.19038529820852282,0.05723057730873653,0.008015150571189615,0.0,0.22735041910274972,0.0,0.001687698218072483,0.0,0.0,0.16818891604918101,0.0,0.2077590809759299,1,9,16,Performance checking and troubleshooting,0.22735041910274972,0.2077590809759299,0.01959133812681982,6.042542844643671,installer_tradesperson,how_to_installation_demo,2024-12-26 19:08:06+00:00,2024
-yx0KyWunLE,0.15865967619329752,0.07120726496364925,0.05474686609458861,0.059345008923752135,0.010497623694473325,0.06420577856529422,0.04413891192865163,0.047122971460417856,0.028210364205296472,0.016922259484280472,0.022526381334479498,0.1643742692138907,0.050534078872859746,0.01353534922837527,0.036111036769591646,0.15786215906710163,17,12,1,Roof and attic ventilation and airflow,0.1643742692138907,0.15865967619329752,0.005714593020593184,12.001823633891437,diy_renovator_homeowner,problem_warning_mistakes,2022-01-29 12:11:29+00:00,2022
-zF_TZVvFIA,0.18409096698399438,0.03688683105698614,0.1810097807042927,0.06488362006280891,0.002689443730871027,0.05384782381222815,0.028437388527848655,0.04955844915725177,0.07636777678576145,0.05001485371257729,0.055696542936744135,0.03991647153351762,0.01900388841196089,0.025174830447699383,0.03848433330153657,0.09393699883392093,17,1,3,Situated household retrofit experience and building context,0.18409096698399438,0.1810097807042927,0.003081186279701692,12.118079145256143,builder_contractor,how_to_installation_demo,2024-09-17 18:41:36+00:00,2024
00wwEMbEc_M,0.23697500400190122,0.002276917687331229,0.051756531992973656,0.10751356590483772,0.1682714828386203,0.008862817895115506,0.06597605715578048,0.11802989643878463,0.04296452276797114,0.01370363580704056,0.014956997059413507,0.051609094529856056,0.0077263340982836595,0.024094811879806003,0.022875583220954447,0.06240674672132988,56,1,5,Situated household retrofit experience and building context,0.23697500400190122,0.1682714828386203,0.0687035211632809,10.156856891100247,training_educational,how_to_installation_demo,2025-01-02 23:00:00+00:00,2025
021LlXChe90,0.35854232088391885,0.01367847188332573,0.050962782152029096,0.07475982064941233,0.02833123561662535,0.0025295148799336802,0.04831205294724449,0.0,0.17244369355486586,0.015193976141733099,0.010522795404975986,0.08555646191571889,0.0,0.014153419036574867,0.026375436074179005,0.09863801885946277,7,1,9,Situated household retrofit experience and building context,0.35854232088391885,0.17244369355486586,0.186098627329053,7.7225353276488935,installer_tradesperson,practical_advice_explainer,2024-08-17 15:15:33+00:00,2024
0D3YVxxqFsI,0.18722573791338173,0.01714842967048837,0.05112267228137269,0.03496879065061444,0.0972270463695938,0.03412075571266698,0.07032644857151188,0.05627775274292359,0.18219924903073986,0.014582106141604781,0.005786794226823451,0.04316696132597662,0.0834943516212238,0.030929183368855983,0.05168327455215699,0.03974044582006506,29,1,9,Situated household retrofit experience and building context,0.18722573791338173,0.18219924903073986,0.005026488882641872,11.901256449165048,diy_renovator_homeowner,how_to_installation_demo,2022-12-30 21:01:34+00:00,2022
0EQ-pJmPZ-M,0.1432501435068761,0.005015489697691342,0.1177712805502154,0.06790651293160473,0.024119885107728778,0.222011332921007,0.04251661148727948,0.027079177742307718,0.08116447785138564,0.029520725636528723,0.014738336806509777,0.06981251379573569,0.020774795076220067,0.02004368848326064,0.014050980430970146,0.10022404797467876,85,6,1,"Praise, gratitude and social endorsement",0.222011332921007,0.1432501435068761,0.0787611894141309,11.029518951434099,training_educational,how_to_installation_demo,2019-12-13 19:00:01+00:00,2019
0IvGe4JZLSU,0.1113844518643507,0.003623519690159162,0.05557305758633913,0.062117718954292245,0.29271330443020144,0.10936179822745593,0.029152316904537873,0.06705431745278803,0.04198555959116649,0.035298079230492864,0.03236705980301873,0.03252809203140206,0.011308954326687127,0.031686424249065384,0.011334902628673803,0.07251044302936907,129,5,1,Heat pumps and heating systems,0.29271330443020144,0.1113844518643507,0.18132885256585074,10.57694399063241,installer_tradesperson,how_to_installation_demo,2022-12-19 21:20:54+00:00,2022
0M9QzdPhm58,0.044729910946084875,0.000987895676559392,0.06633188047517763,0.09186657545155841,0.03360006755549391,0.07065394360530573,0.04736443862755483,0.02413134413571283,0.09651039989392728,0.02836429121668632,0.04372933873562174,0.023597947570829718,0.008665534339405747,0.3941661438719286,0.0039435953351544244,0.021356692562998547,83,14,9,Thermostat wiring and smart heating controls,0.3941661438719286,0.09651039989392728,0.2976557439780013,8.53979299248764,diy_renovator_homeowner,how_to_installation_demo,2023-05-07 22:00:01+00:00,2023
0OsM6Ao-kSA,0.025325869988473554,0.015177403752404428,0.008357489464544876,0.05932778915260486,0.15128209426939881,0.06033644914868489,0.03757328127874481,0.026847639439532212,0.11299304739137979,0.02471898120364255,0.003184366148021078,0.011180217527817888,0.0013727842105557037,0.36702122221556355,0.042199338746415585,0.05310202606221539,5,14,5,Thermostat wiring and smart heating controls,0.36702122221556355,0.15128209426939881,0.21573912794616473,8.269251027776791,installer_tradesperson,how_to_installation_demo,2024-05-23 20:49:45+00:00,2024
0RQFr4QRb2s,0.11930499157781034,0.04133234904956346,0.0487729769094844,0.05543744006985766,0.0072961876699559995,0.04628689251737,0.04791270759535416,0.04517465068250432,0.033860347827414004,0.06364828619691189,0.029711008748381996,0.1327418101624698,0.18004059890871807,0.017014957100583827,0.06545735079504607,0.06600744418857399,38,13,12,"Wall, cavity and floor insulation",0.18004059890871807,0.1327418101624698,0.047298788746248266,12.871121920169251,diy_renovator_homeowner,practical_advice_explainer,2023-04-22 16:13:41+00:00,2023
0TsN6h2UH4Q,0.1263622103921228,0.004939149143009065,0.06850197019710051,0.07240963600533584,0.02113535017894313,0.0961800626956799,0.05403405818990003,0.01060541582255904,0.04414817323415443,0.026444062665624078,0.007097114491864925,0.3294624882143336,0.028672786460271462,0.043007796458113874,0.005510414659778083,0.06148931119120923,18,12,1,Roof and attic ventilation and airflow,0.3294624882143336,0.1263622103921228,0.2031002778222108,9.45016416694512,builder_contractor,how_to_installation_demo,2025-09-02 17:18:14+00:00,2025
0WgfnhWOfvI,0.163419976451595,0.008389267959297255,0.03805335302652048,0.028895958915640677,0.07888745048586472,0.013400074675585271,0.05455008443125185,0.15266523293009698,0.04501699692767177,0.0672932828029758,0.005339972105315727,0.09043993557749,0.1541195475056875,0.006765810107643269,0.05955815374716074,0.03320490235020296,51,1,13,Situated household retrofit experience and building context,0.163419976451595,0.1541195475056875,0.009300428945907518,11.429636684405729,builder_contractor,how_to_installation_demo,2024-02-21 11:06:22+00:00,2024
0WzU-f_ggm4,0.06539732612176273,0.0012699093625706838,0.30472054327802045,0.08114267519998711,0.0,0.040999768418993617,0.013304411242775626,0.028287446406084795,0.0,0.09309906178929821,0.012986338628550212,0.21541299604776076,0.06867256357003561,0.03526855431798804,0.036210958622140445,0.0032274469940317065,3,3,12,Clarification and specification questions,0.30472054327802045,0.21541299604776076,0.08930754723025969,8.09084731800939,installer_tradesperson,how_to_installation_demo,2024-12-27 18:25:44+00:00,2024
0mG9u6qrglA,0.23980189618408004,0.03714108782390675,0.04021019625968215,0.03476657829792772,0.047041981914974454,0.10015700944499781,0.010904849181445114,0.01882357890470815,0.04408340931201249,0.0004697560344809088,0.0015881611959592612,0.08573611938756565,0.12583107814376426,0.004606527186727912,0.11392358350090295,0.09491418722686443,8,1,13,Situated household retrofit experience and building context,0.23980189618408004,0.12583107814376426,0.11397081804031578,10.254161374134586,builder_contractor,problem_warning_mistakes,2025-09-13 14:00:00+00:00,2025
