comment_id,video_id,inclusive_topic_number,raw_sensitivity_topic_number,mapped_sensitivity_topic_number,same_dominant_topic_after_mapping
Ugw-ZcKjhxr6-YjHAoJ4AaABAg,pvP7IWKHpVA,7,16,6,False
Ugw-ZdzvIORPhMyxS4t4AaABAg,a8_5rW-eMDs,15,14,15,True
Ugw-ZgMoShvz74RUAmt4AaABAg,lxZwPhCmQ2w,8,15,8,True
Ugw-ZuUpx1mbUWhvGTx4AaABAg,i015Zc0x27U,15,14,15,True
Ugw-_Pl3ZHJrEVETnhp4AaABAg,IbQjqDJ2Vuo,7,6,7,True
Ugw-_nWfcZYfiPdh40t4AaABAg,XDQSNs6vjnk,1,5,1,True
Ugw-aCSOTmS2I_J10wJ4AaABAg,OZvrTuhJhXs,8,15,8,True
Ugw-atPs_KtoW2OgbTN4AaABAg,PHeTx5sGL3A,9,8,9,True
Ugw-bIoTrnk9axiJva94AaABAg,C5lPpLUw-Ts,9,8,9,True
Ugw-boi3CouWCB2F2nl4AaABAg,Z-Bhh3aH4f4,10,9,10,True
Ugw-bp-bPhkuAI_o-Th4AaABAg,kGXwcm6_ZMU,3,3,3,True
Ugw-cJ-xpgBkjTO25J54AaABAg,Hyv_vQEvHgo,1,5,1,True
Ugw-cRZwpjaRJV4j2cV4AaABAg,0M9QzdPhm58,14,13,14,True
Ugw-cdBT4InBYKWjQdN4AaABAg,zptJko9v2Rw,12,11,12,True
Ugw-cmwkVA3BEYsZ6FN4AaABAg,jYNufQVIFfA,6,11,12,False
Ugw-dI8gt7cWl1s-kMZ4AaABAg,0oDLwBZurp8,15,14,15,True
Ugw-dR__q63G3_lSpS14AaABAg,AN4_mkEfDPE,16,4,4,False
Ugw-dXhgvCfMkneW-4t4AaABAg,Tz0W9xCBxS0,6,9,10,False
Ugw-dgVhAUM5jnhwPCp4AaABAg,VgFfjRUQ24o,6,5,1,False
Ugw-dwJwd7IvoOmY-0l4AaABAg,qhWHoDqH2TA,3,3,3,True
Ugw-eqNP1KWpeTWXItB4AaABAg,cQGDIwil44Q,6,9,10,False
Ugw-fDucVwfMMImx8vN4AaABAg,5RyDxZLA8b8,10,9,10,True
