feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present,removal_basis
useful video,2,51,0.12003671711347,7.705733243520807,0.0002696028462996,0.2246003162888469,N-gram containing a sensitivity stop word
great content,2,49,0.115329394873726,7.744953956674089,0.0002598591505023,0.2253190964774208,N-gram containing a sensitivity stop word
video great,2,49,0.115329394873726,7.744953956674089,0.000261921855083,0.2271076297329211,N-gram containing a sensitivity stop word
brilliant video,2,47,0.1106220726339821,7.785775951194344,0.0003023036813653,0.2732760959610267,N-gram containing a sensitivity stop word
great information,2,47,0.1106220726339821,7.785775951194344,0.0002879897840311,0.2603366373219302,N-gram containing a sensitivity stop word
video informative,2,47,0.1106220726339821,7.785775951194344,0.0002854836330198,0.258071130130071,N-gram containing a sensitivity stop word
video where,2,45,0.1059147503942382,7.82833556561314,0.0003000068949315,0.2832531765546121,N-gram containing a sensitivity stop word
video good,2,44,0.1035610892743662,7.850314472331915,0.0002256520525814,0.2178926990461398,N-gram containing a sensitivity stop word
great info,2,43,0.1012074281544943,7.872787328183974,0.0002848846624164,0.2814859221415939,N-gram containing a sensitivity stop word
making video,2,43,0.1012074281544943,7.872787328183974,0.000248108805704,0.2451488099522337,N-gram containing a sensitivity stop word
video does,2,43,0.1012074281544943,7.872787328183974,0.0002701715995729,0.2669483895594071,N-gram containing a sensitivity stop word
great explanation,2,42,0.0988537670346223,7.895776846408673,0.0002992718503687,0.3027419787290137,N-gram containing a sensitivity stop word
love channel,2,42,0.0988537670346223,7.895776846408673,0.0002089206802911,0.2113431653221477,N-gram containing a sensitivity stop word
video helpful,2,42,0.0988537670346223,7.895776846408673,0.0002455519880682,0.2483992218346179,N-gram containing a sensitivity stop word
great informative,2,40,0.0941464447948784,7.943404895397927,0.0002290537983969,0.2432952183122515,N-gram containing a sensitivity stop word
thanks posting,2,40,0.0941464447948784,7.943404895397927,0.0002055303270187,0.2183091751011047,N-gram containing a sensitivity stop word
thanks lot,2,38,0.0894391225551345,7.993415315972588,0.0002479132727831,0.2771866110720256,N-gram containing a sensitivity stop word
video charlie,2,38,0.0894391225551345,7.993415315972588,0.0002091028048159,0.2337934439004337,N-gram containing a sensitivity stop word
video roger,2,37,0.0870854614352625,8.019390802375849,0.0001837890556448,0.2110444758697628,N-gram containing a sensitivity stop word
video could,2,36,0.0847318003153905,8.04605904945801,0.0002180760935244,0.2573721940436649,N-gram containing a sensitivity stop word
great product,2,34,0.0800244780756466,8.101628900612821,0.0002609843025218,0.3261305900366816,N-gram containing a sensitivity stop word
thanks help,2,34,0.0800244780756466,8.101628900612821,0.00018795467124,0.2348714740286532,N-gram containing a sensitivity stop word
watched videos,2,34,0.0800244780756466,8.101628900612821,0.0001608755227366,0.2010328921915443,N-gram containing a sensitivity stop word
like great,2,33,0.0776708169557747,8.130616437486074,0.000201974558533,0.2600391838907684,N-gram containing a sensitivity stop word
