video_id,comment_id,retrofit_topic,creator_type,video_type,comment_text_for_coding
PKRqplUscbw,UgyceOmiT5j4OQlrPsh4AaABAg,loft_roof_insulation,diy_renovator_homeowner,how_to_installation_demo,What are the orange flags? Are they marking electric junction boxes by chance?
QWkP4P7lUMA,UgyjABdB5zDWpfP6Whl4AaABAg,airtightness_draught_proofing,training_educational,problem_warning_mistakes,Amazing!! Absolute revelation! Think your channel will help us with our growing list of DIY jobs!! Any tips on how to keep a toilet roll holder on a bathroom wall please?? Thanks so much! 🙌🤩
QWkP4P7lUMA,Ugyzr3mzphPKSeX3SZ14AaABAg,airtightness_draught_proofing,training_educational,problem_warning_mistakes,Amazing!! Absolute revelation! Think your channel will help us with our growing list of DIY jobs!! Any tips on how to keep a toilet roll holder on a bathroom wall please?? Thanks so much! 🙌🤩
RwHD7D6avyQ,Ugyp_92MxZc9cs_NTWt4AaABAg,floor_insulation,builder_contractor,how_to_installation_demo,What kind of insulation is this
RwHD7D6avyQ,UgzysprY0y1_byPExDB4AaABAg,floor_insulation,builder_contractor,how_to_installation_demo,What kind of insulation is this
S9s1VWxQ-5o,UgxA1iKS1T8GxdHS11F4AaABAg,heat_pump_heating_retrofit,diy_renovator_homeowner,how_to_installation_demo,I’m getting ready to tackle my house. Do you have any more video of how you did the return vent? Did you install it in the wall or did you do multiple returns? You put the unit up on that stand so does the return come up from the bottom? I think I’m pretty much going to use your video as reference . I’m going to install my system in the attic and mount horizontal and then run all the ducts to the ceiling So I was thinking about running an 8 inch pipe directly down the center and then branching eight and 6 inch pipes off of it. The house is about 1500 ft.².
S9s1VWxQ-5o,UgxeZ-MgltXpH8CkIOZ4AaABAg,heat_pump_heating_retrofit,diy_renovator_homeowner,how_to_installation_demo,I’m getting ready to tackle my house. Do you have any more video of how you did the return vent? Did you install it in the wall or did you do multiple returns? You put the unit up on that stand so does the return come up from the bottom? I think I’m pretty much going to use your video as reference . I’m going to install my system in the attic and mount horizontal and then run all the ducts to the ceiling So I was thinking about running an 8 inch pipe directly down the center and then branching eight and 6 inch pipes off of it. The house is about 1500 ft.².
SkF1U4vrlhU,Ugx01kiDcxBPYpIzI_l4AaABAg,general_energy_retrofit,training_educational,practical_advice_explainer,First of all dont use that crap osb board. Buy floor boards and screw them down. Dot and dab the wall with insulation board like Rodger says. And bob is your uncle.
SkF1U4vrlhU,UgxpFJb0na3WfK7m0C14AaABAg,general_energy_retrofit,training_educational,practical_advice_explainer,First of all dont use that crap osb board. Buy floor boards and screw them down. Dot and dab the wall with insulation board like Rodger says. And bob is your uncle.
UUalCAU4W8g,UgyBwW9okuMNTyVtHyJ4AaABAg,internal_wall_insulation,installer_tradesperson,how_to_installation_demo,Aha I never seen it being done on the floor. I’ve only seen it on the wall till now.
UUalCAU4W8g,UgzyV7inA8Z8dhrItzR4AaABAg,internal_wall_insulation,installer_tradesperson,how_to_installation_demo,Aha I never seen it being done on the floor. I’ve only seen it on the wall till now.
WBrL9153zJQ,Ugw0RKwTmPLg7h8FsjV4AaABAg,solar_renewable_integration,training_educational,practical_advice_explainer,Why would it be illegal?
WBrL9153zJQ,UgxQnOjh8iscUUUTTJZ4AaABAg,solar_renewable_integration,training_educational,practical_advice_explainer,Why would it be illegal?
WBrL9153zJQ,Ugxgfad20jVCB2_9_yV4AaABAg,solar_renewable_integration,training_educational,practical_advice_explainer,Why would it be illegal?
X0qPKugYVHs,UgzwkSeyL8ZzgTzPFlZ4AaABAg,airtightness_draught_proofing,diy_renovator_homeowner,how_to_installation_demo,What sealant did you use to hold that down?
X0qPKugYVHs,Ugzxp9Yc3hEX2CwO2it4AaABAg,airtightness_draught_proofing,diy_renovator_homeowner,how_to_installation_demo,What sealant did you use to hold that down?
YZQzzxv4hKI,UgywjaHbqay3RJwctv94AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,"I have a Climote thermostat (was good for 10 years, they went bust and wanted me to upgrade) can I install a hive, to replace Climote? Is it as straightforward as it appears or do I need a spark to do it for me ? Your vids are brilliant !"
YZQzzxv4hKI,UgzZ85rbLs7ydYaLfod4AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,"I have a Climote thermostat (was good for 10 years, they went bust and wanted me to upgrade) can I install a hive, to replace Climote? Is it as straightforward as it appears or do I need a spark to do it for me ? Your vids are brilliant !"
ZInm0mt0pXQ,UgxSVUkD7RM16slzx514AaABAg,external_wall_insulation,builder_contractor,how_to_installation_demo,"""Always wear gloves"""
ZInm0mt0pXQ,UgyfWuLCcWfMCWU7nCl4AaABAg,external_wall_insulation,builder_contractor,how_to_installation_demo,"""Always wear gloves"""
ZInm0mt0pXQ,UgylmeOaZrN9chsODQB4AaABAg,external_wall_insulation,builder_contractor,how_to_installation_demo,"""Always wear gloves"""
