topic_number,representative_rank,tfidf_row_index,topic_weight,relative_topic_loading,video_id,comment_id,comment_text,retrofit_topic,creator_type,video_type,primary_theme
2,1,34498,0.23063381405409322,1.0,tUWJTF9nyaQ,UgxtCcp6ToRsN4-kzzF4AaABAg,SPRAY FOAM IS A RIPOFF!,loft_roof_insulation,builder_contractor,problem_warning_mistakes,theme_product_material_tool
2,2,31075,0.23063381405409322,1.0,C5lPpLUw-Ts,UgxB5hdL70bOwrRX3cV4AaABAg,SPRAY FOAM! 😉🤣,external_wall_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_product_material_tool
2,3,9907,0.23063381405409322,1.0,9OFpzKn0cq4,UgxWncWZz4ymf4GMPll4AaABAg,😂 spray foam bandit struck again!,loft_roof_insulation,diy_renovator_homeowner,problem_warning_mistakes,theme_product_material_tool
2,4,17746,0.21005452171355435,1.0,5ScJj0YlUAM,UgwSfM5zgyKhjzB0CVZ4AaABAg,Spray foam man. SPRAY FOAM!!,loft_roof_insulation,installer_tradesperson,practical_advice_explainer,theme_product_material_tool
2,5,19045,0.20599973605860633,0.9916592815167181,_RQ9S1u7ag4,UgxN6dpbyQdfHRNkTvZ4AaABAg,Time for closecell spray foam,airtightness_draught_proofing,diy_renovator_homeowner,how_to_installation_demo,theme_product_material_tool
2,6,34575,0.2012370496610628,0.9992076012648449,tUWJTF9nyaQ,UgwbOF_qfUV7Yoap6UJ4AaABAg,"Spray foam, got it.",loft_roof_insulation,builder_contractor,problem_warning_mistakes,theme_product_material_tool
2,7,36373,0.1929615651705873,0.9951862667904596,Genu_Plnp2M,UgwHMTSiKmcIANPqAz54AaABAg,i thought spray foam was hazardeous?,airtightness_draught_proofing,installer_tradesperson,how_to_installation_demo,theme_product_material_tool
2,8,29990,0.1754765569280401,1.0,AADAMH0TRQU,Ugz53GrW4sOGctMr6Cp4AaABAg,I hate spray foam.,loft_roof_insulation,training_educational,how_to_installation_demo,theme_product_material_tool
2,9,598,0.17496107085786047,0.9907055786596326,ZInm0mt0pXQ,Ugw94E9kmzTPcMAjDhl4AaABAg,That spray foam is going to leave you bankrupt😂,external_wall_insulation,builder_contractor,how_to_installation_demo,theme_product_material_tool
2,10,17769,0.1682634226831866,1.0,5ScJj0YlUAM,Ugx-8gwMMlVAGZYqbDx4AaABAg,Or foam it,loft_roof_insulation,installer_tradesperson,practical_advice_explainer,theme_product_material_tool
2,11,193,0.1682634226831866,1.0,UUalCAU4W8g,UgyPLh41DmY6e4nHS114AaABAg,Is it foam❓,internal_wall_insulation,installer_tradesperson,how_to_installation_demo,theme_product_material_tool
2,12,714,0.1682634226831866,1.0,ZInm0mt0pXQ,UgxLoIvtsq_MID0z9fZ4AaABAg,That foam 🤦,external_wall_insulation,builder_contractor,how_to_installation_demo,theme_product_material_tool
2,13,12394,0.16643032313212608,0.98788377232416,QS16O9aYfq4,UgwR20psWKw_x49Mrqd4AaABAg,Do your best and spray foam the rest,airtightness_draught_proofing,builder_contractor,how_to_installation_demo,theme_product_material_tool
2,14,32110,0.16574076351272524,0.910371818255746,vOC1_rPcUCE,UgxspsL4Vs_OgyI_nTR4AaABAg,spray foam vs foam board for moisture ?,ventilation_mvhr,training_educational,how_to_installation_demo,theme_damp_moisture_condensation
2,15,25581,0.16531588504513386,1.0,mBTIbZcWRLs,UgyEnzLr3iUPkYmxrZV4AaABAg,Any spray foam recommendations?,loft_roof_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_product_material_tool
2,16,9997,0.1651355103814393,1.0,9OFpzKn0cq4,Ugwk8qmW9x9ErIogD_J4AaABAg,Spray foam. Is the next asbestos,loft_roof_insulation,diy_renovator_homeowner,problem_warning_mistakes,theme_safety_risk_warning
2,17,32180,0.1643336355397128,1.0,IH7pXvIhHHE,Ugx4DP_Iw99C3DSTfPF4AaABAg,Spray foam sucks.,damp_condensation_moisture,diy_renovator_homeowner,problem_warning_mistakes,theme_product_material_tool
2,18,36352,0.16328081858829824,0.9599486547624555,Genu_Plnp2M,Ugy4omD489FKuwyPYb14AaABAg,I can spray foam that with 2lb closed cell spray foam and get it all covered for you with a energy grant.,airtightness_draught_proofing,installer_tradesperson,how_to_installation_demo,theme_cost_finance
2,19,15010,0.16272488631581283,1.0,gf-QgHyXM6E,Ugy_B42YVAvTYrW_Pl54AaABAg,You forgot the spray foam .,ventilation_mvhr,training_educational,how_to_installation_demo,theme_product_material_tool
2,20,23282,0.1593446843577293,0.9742274737516381,FsFTsrfhBug,UgzuiI_sNwge5so59mx4AaABAg,@Incredibletinyhomes Is there a better alternative to spray foam???,loft_roof_insulation,training_educational,practical_advice_explainer,theme_question_request
3,1,41834,0.2811717394190763,1.0,5q4S12q9m7E,UgyPM135UqEGLSydq7x4AaABAg,What about VanEE ? 6:59 7:02,ventilation_mvhr,installer_tradesperson,how_to_installation_demo,theme_question_request
3,2,41305,0.2811717394190763,1.0,dB8p6pVuPAo,UgxIGcGDvrtmmZFuLBR4AaABAg,what was the invoice?,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request
3,3,22965,0.2811717394190763,1.0,Q4iG6O7JEM0,UgxO6Ecfrj2YHFuu0wN4AaABAg,What's your name ?,smart_heating_controls,installer_tradesperson,how_to_installation_demo,theme_question_request
3,4,3135,0.2811717394190763,1.0,xcAwujfTN64,UgzdkqsymdISnDR8YNh4AaABAg,What’s the ig?,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
3,5,29861,0.2811717394190763,1.0,OWALq8C5Wkg,UgyXKweO6Gil5bqGWB94AaABAg,what is this?,smart_heating_controls,installer_tradesperson,how_to_installation_demo,theme_question_request
3,6,3664,0.2811717394190763,1.0,jYNufQVIFfA,Ugyc_8hpPw0w51eyTXd4AaABAg,What about Airkrete?,damp_condensation_moisture,builder_contractor,problem_warning_mistakes,theme_question_request
3,7,33546,0.2811717394190763,1.0,gIhAyS38-f4,Ugzgjo86w6j9Z7jT2Lp4AaABAg,"So, what’s the verdict ?",smart_heating_controls,training_educational,how_to_installation_demo,theme_question_request
3,8,9073,0.2811717394190763,1.0,NZNyK7W8yKI,UgzO38aWxHf09IUfzXl4AaABAg,Since you have your what out ?,windows_doors_glazing,builder_contractor,how_to_installation_demo,theme_question_request
3,9,9055,0.2811717394190763,1.0,NZNyK7W8yKI,UgxGMg7Ks-u_wKP0BMN4AaABAg,His what out???,windows_doors_glazing,builder_contractor,how_to_installation_demo,theme_question_request
3,10,436,0.2811717394190763,1.0,LVYSz1CuuDw,UgwoqmayVm_re-VGdf94AaABAg,What for ?,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
3,11,26734,0.2811717394190763,1.0,BqflmLgXTzQ,UgwALwxd64ZjszZoE4V4AaABAg,What is this for?,ventilation_mvhr,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
3,12,24045,0.2811717394190763,1.0,7Wk2MF4pEmc,Ugy51xTeSLZAP78O7ct4AaABAg,What's it for?,loft_roof_insulation,diy_renovator_homeowner,practical_advice_explainer,theme_question_request
3,13,403,0.2811717394190763,1.0,LVYSz1CuuDw,Ugwuh-YKviEsewAISwl4AaABAg,What is your shoose please ?,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
3,14,17310,0.2811717394190763,1.0,KIbJ6CBhWoI,UgwRhpYRfKBJ0dQm5sB4AaABAg,What about the molds?,windows_doors_glazing,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
3,15,13800,0.2811717394190763,1.0,5O6rHbUJRrM,UgwkmIjyJAo7KEnBIrJ4AaABAg,What is this about?,smart_heating_controls,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
3,16,16925,0.2811717394190763,1.0,DA5okoaEhQ4,UgwQGLo6vylUzI5EvBV4AaABAg,What is C for????,smart_heating_controls,installer_tradesperson,how_to_installation_demo,theme_question_request
3,17,28336,0.2811717394190763,1.0,wWWfFER9Spw,UgwclaV20Ts3G4vIySF4AaABAg,"What are ""Joyce's""?",heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request
3,18,1607,0.2811717394190763,1.0,35kJvNW81pU,Ugxj3mkNiB-EC9h1t1l4AaABAg,What is it?,floor_insulation,builder_contractor,how_to_installation_demo,theme_question_request
3,19,10121,0.2811717394190763,1.0,WBrL9153zJQ,UgxHtCF6hZzHi_UVPzJ4AaABAg,700W at what 120/240v?,solar_renewable_integration,training_educational,practical_advice_explainer,theme_question_request
3,20,30091,0.2811717394190763,1.0,bYnBAisrVGQ,UgzHSl37pfiSyyAg9fl4AaABAg,what is this?,smart_heating_controls,installer_tradesperson,how_to_installation_demo,theme_question_request
4,1,172,0.27955852805766784,1.0,UUalCAU4W8g,UgzokD-y9cqTYGYPO0F4AaABAg,Please how can I get this,internal_wall_insulation,installer_tradesperson,how_to_installation_demo,theme_question_request
4,2,1343,0.27955852805766784,1.0,mobbhOH5teg,UgzjtCX1HHkagVxbjQN4AaABAg,How can I get this.,external_wall_insulation,builder_contractor,how_to_installation_demo,theme_question_request
4,3,1029,0.27955852805766784,1.0,MzSCf_LkyNw,Ugyb_WwCUCve7N2GIQl4AaABAg,How is he a gangster in paradise?,loft_roof_insulation,installer_tradesperson,how_to_installation_demo,theme_question_request
4,4,553,0.27955852805766784,1.0,RlQjU6gQcFU,UgzOc6u9y_EY2bD40Zl4AaABAg,"So, that's how it done...? 😱",external_wall_insulation,installer_tradesperson,how_to_installation_demo,theme_question_request
4,5,14918,0.27955852805766784,1.0,tyTT9jNfnc8,UgxtIHBXYrr9KJ1UgEp4AaABAg,How much? 😂😂😂😂😂😂,loft_roof_insulation,training_educational,problem_warning_mistakes,theme_question_request
4,6,30595,0.27955852805766784,1.0,UFQrJ_okXBg,UgwwOoTTEp_TAgGUEJx4AaABAg,how do i do that,smart_heating_controls,installer_tradesperson,how_to_installation_demo,theme_question_request
4,7,3003,0.27955852805766784,1.0,EY77sPyVM2c,UgzMcMysyImMD4RYOq94AaABAg,How much is the PF?,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request
4,8,15415,0.27955852805766784,1.0,P6rA-E-HmQ0,UgwCHor35FidVlGrelR4AaABAg,how much all???,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
4,9,19092,0.27955852805766784,1.0,ukgh7mrTd-Y,UgzWJu9O8P_JiNCc10B4AaABAg,How much is this?,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
4,10,33839,0.27955852805766784,1.0,f9wxGMxavgM,UgwWAZaJVdfWgJuAiJt4AaABAg,How much for that system??? 😊,windows_doors_glazing,installer_tradesperson,how_to_installation_demo,theme_question_request
4,11,41956,0.27955852805766784,1.0,hqFU3zjv-fs,Ugz1XqgYbjDVvLOiiLB4AaABAg,How much is it?,loft_roof_insulation,installer_tradesperson,problem_warning_mistakes,theme_question_request
4,12,5489,0.21501003728057233,0.6220384936210579,1kz1c-rZsDk,UgzShsvUmXJpBliQ1JJ4AaABAg,How installé one Solar pannal of 450w?how many batries llœk‹’,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
4,13,5562,0.1891277168219142,0.6659470735869223,-0vb6-7lOWw,UgyF4O0jr634uYufBpd4AaABAg,how many appliecess can i use this one?,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
4,14,3798,0.17917038193631268,0.7093076876707021,6bQgwGQAHeU,UgxyQ3aaaMvwLE_zNgl4AaABAg,How thick is that wall ??,ventilation_mvhr,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
4,15,2560,0.17453407132265086,0.8217913250122978,ZAZWYBFipmI,UgyzrjwjjQeNjZpa3I94AaABAg,And we keep water out how?,airtightness_draught_proofing,builder_contractor,how_to_installation_demo,theme_question_request
4,16,14537,0.17425893902283016,0.5706465946669002,nSnbMsSzdXU,Ugw6WBIy3Upl-PU8kTV4AaABAg,how much is the foam ?,internal_wall_insulation,diy_renovator_homeowner,problem_warning_mistakes,theme_question_request
4,17,15248,0.1664474501075318,0.8227412038171165,bOkQEFi55oU,Ugz6VBVdlq6dnjLnRrx4AaABAg,How much was all of this? Thank you,solar_renewable_integration,installer_tradesperson,project_walkthrough,theme_question_request
4,18,29370,0.1606865988069463,0.9086420324449779,MwDCWACcfVA,UgyaS1gmMO-4k94NXAd4AaABAg,How will one unit be enough ?,heat_pump_heating_retrofit,builder_contractor,how_to_installation_demo,theme_question_request
4,19,33917,0.15797898297679702,0.917369798308237,uKrnNDbJrmA,UgzB2Thz7PWzVmPKZp14AaABAg,How about in winter?,windows_doors_glazing,diy_renovator_homeowner,project_walkthrough,theme_question_request
4,20,8322,0.15667613985658574,0.9128914428193143,OZvrTuhJhXs,UgxwMe8fM_kjc4FPaEh4AaABAg,How can I all the videos you have?,solar_renewable_integration,training_educational,how_to_installation_demo,theme_question_request
5,1,5110,0.20369783555572646,1.0,jKiXJOX4ol8,UgxwhEvjXdkzouWG22l4AaABAg,Do you also have a heat pump?,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
5,2,31740,0.18288551042419593,0.9889685340125799,fh_KDoj2Qm8,UgyYhjQHQxQiclZiGD14AaABAg,"Heat pump At 50c! , you need to rethink that one.",heat_pump_heating_retrofit,training_educational,how_to_installation_demo,theme_practical_advice
5,3,41658,0.16449464727193713,0.7291508888832287,QLGANlbqIFY,UgyHPCFH1wQ5Y9osiXN4AaABAg,There seem to be two heat pumps out the front. What is the second heat pump for?,heat_pump_heating_retrofit,training_educational,project_walkthrough,theme_question_request
5,4,28746,0.14579708099402752,1.0,xOUBlKTynes,UgzokSIQDFqfOrCzZTh4AaABAg,Get a quote for a heat pump: https://tech.referrals.octopus.energy/uOYXOG2p,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_cost_finance
5,5,22581,0.1393127054972768,0.7762839627859853,qmWRN3Ob1Po,UgzKJJAHgWprZndih1x4AaABAg,I don't have the funds for this heat pump solution or do I have the space.,heat_pump_heating_retrofit,training_educational,how_to_installation_demo,theme_practical_advice
5,6,33336,0.1334163444116389,0.6203800704903168,lpRNEcK3fGA,Ugwh4X9U_q8zY2bjC_l4AaABAg,How noisy is your heat pump?,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request
5,7,24893,0.13274941170214677,0.9695290813892739,Hyv_vQEvHgo,Ugy_h-jUZMVmv9eM0qF4AaABAg,Is it a heat storage heat pump boiler?,heat_pump_heating_retrofit,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
