candidate_topic_count,topic_number,topic_npmi_top_10,dominant_comment_count,dominant_comment_share,median_relative_dominant_loading,mean_relative_dominant_loading,unique_videos,largest_single_video_share,channel_column_used,largest_single_channel_share,top_10_terms,top_20_terms,generic_social_terms_in_top_10,retrofit_topic_distribution,creator_type_distribution,video_type_distribution,primary_theme_distribution,leading_channels,provisional_topic_label,coherence_rating_1_to_5,distinctiveness_rating_1_to_5,research_relevance_rating_1_to_5,possible_overlap_with_topic,retain_merge_or_reject,reviewer_notes
16,9,0.1226241625447829,2435,0.05737106236599675,0.43864290819117485,0.4792139914007196,619,0.011498973305954825,,,does | does not | not | work | how does | does work | not work | mean | need | what does,does | does not | not | work | how does | does work | not work | mean | need | what does | matter | not need | does cost | does mean | why does | know | does know | where does | does need | foam does,,heat_pump_heating_retrofit (529; 21.7%) | smart_heating_controls (521; 21.4%) | airtightness_draught_proofing (246; 10.1%),installer_tradesperson (844; 34.7%) | diy_renovator_homeowner (670; 27.5%) | training_educational (544; 22.3%),"how_to_installation_demo (1,380; 56.7%) | practical_advice_explainer (533; 21.9%) | problem_warning_mistakes (390; 16.0%)","theme_question_request (1,262; 51.8%) | theme_practical_advice (415; 17.0%) | theme_energy_performance (169; 6.9%)",,,,,,,,
16,10,0.0340660085654383,1714,0.04038357326296445,0.44263257058435307,0.46787095956992125,497,0.022170361726954493,,,did | did not | how did | not | why did | did use | what did | where did | use | did cost,did | did not | how did | not | why did | did use | what did | where did | use | did cost | job | not know | cost | install | say | work | video did | know | did install | not use,,heat_pump_heating_retrofit (364; 21.2%) | smart_heating_controls (215; 12.5%) | loft_roof_insulation (181; 10.6%),diy_renovator_homeowner (680; 39.7%) | installer_tradesperson (447; 26.1%) | builder_contractor (300; 17.5%),how_to_installation_demo (998; 58.2%) | problem_warning_mistakes (315; 18.4%) | practical_advice_explainer (246; 14.4%),theme_question_request (680; 39.7%) | theme_personal_experience (363; 21.2%) | theme_practical_advice (258; 15.1%),,,,,,,,
16,11,-0.1138538108587602,1043,0.024574134721862262,0.45734561803196466,0.5174296267897297,435,0.019175455417066157,,,where | buy | where buy | where did | where does | live | know where | link | located | where live,where | buy | where buy | where did | where does | live | know where | link | located | where live | video where | know | based | where would | tool | uk | where not | goes | door | purchase,,heat_pump_heating_retrofit (216; 20.7%) | airtightness_draught_proofing (131; 12.6%) | smart_heating_controls (124; 11.9%),diy_renovator_homeowner (335; 32.1%) | installer_tradesperson (314; 30.1%) | training_educational (213; 20.4%),how_to_installation_demo (625; 59.9%) | practical_advice_explainer (196; 18.8%) | problem_warning_mistakes (162; 15.5%),theme_question_request (645; 61.8%) | theme_practical_advice (105; 10.1%) | theme_energy_performance (69; 6.6%),,,,,,,,
16,12,0.2831162092668909,4057,0.09558702259500977,0.4574270261994834,0.4868768233753449,509,0.03845205817106236,,,roof | air | vents | attic | cold | vent | warm | ridge | ventilation | soffit,roof | air | vents | attic | cold | vent | warm | ridge | ventilation | soffit | gap | space | warm roof | ceiling | through | fan | cold air | between | condensation | air gap,,"loft_roof_insulation (1,021; 25.2%) | ventilation_mvhr (834; 20.6%) | damp_condensation_moisture (753; 18.6%)","diy_renovator_homeowner (1,125; 27.7%) | builder_contractor (1,068; 26.3%) | training_educational (953; 23.5%)","how_to_installation_demo (1,544; 38.1%) | practical_advice_explainer (1,393; 34.3%) | problem_warning_mistakes (898; 22.1%)","theme_question_request (1,297; 32.0%) | theme_practical_advice (768; 18.9%) | theme_energy_performance (729; 18.0%)",,,,,,,,
16,13,0.2734620976608829,3275,0.07716231180642273,0.4671562681569186,0.5011967013767767,442,0.051908396946564885,,,insulation | wall | cavity | walls | floor | wall insulation | cavity wall | between | board | brick,insulation | wall | cavity | walls | floor | wall insulation | cavity wall | between | board | brick | damp | loft | plaster | boards | external | concrete | inside | under | internal | exterior,,damp_condensation_moisture (500; 15.3%) | loft_roof_insulation (470; 14.4%) | internal_wall_insulation (459; 14.0%),diy_renovator_homeowner (989; 30.2%) | builder_contractor (931; 28.4%) | training_educational (800; 24.4%),"how_to_installation_demo (1,605; 49.0%) | problem_warning_mistakes (675; 20.6%) | practical_advice_explainer (672; 20.5%)","theme_question_request (1,008; 30.8%) | theme_energy_performance (1,004; 30.7%) | theme_practical_advice (420; 12.8%)",,,,,,,,
16,14,0.296545972723309,1843,0.043422943712744154,0.4854488487581354,0.5126635425206865,319,0.061313076505697235,,,wire | thermostat | wires | boiler | nest | connected | connect | blue | red | need,wire | thermostat | wires | boiler | nest | connected | connect | blue | red | need | white | smart | hive | furnace | honeywell | control | common | old | terminal | blue wire,,"smart_heating_controls (1,409; 76.5%) | heat_pump_heating_retrofit (240; 13.0%) | solar_renewable_integration (83; 4.5%)",installer_tradesperson (858; 46.6%) | diy_renovator_homeowner (491; 26.6%) | training_educational (432; 23.4%),"how_to_installation_demo (1,341; 72.8%) | practical_advice_explainer (327; 17.7%) | problem_warning_mistakes (148; 8.0%)","theme_question_request (1,072; 58.2%) | theme_practical_advice (283; 15.4%) | theme_personal_experience (178; 9.7%)",,,,,,,,
16,15,0.2624345577192847,1600,0.03769761798176378,0.46270676483550366,0.4938205201913722,278,0.045625,,,barrier | vapour | vapour barrier | vapor | vapor barrier | use | moisture | inside | no vapour | joists,barrier | vapour | vapour barrier | vapor | vapor barrier | use | moisture | inside | no vapour | joists | foil | drywall | osb | radiant | between | radiant barrier | plasterboard | no | plastic | steve,,damp_condensation_moisture (412; 25.8%) | loft_roof_insulation (363; 22.7%) | airtightness_draught_proofing (213; 13.3%),builder_contractor (512; 32.0%) | training_educational (479; 29.9%) | diy_renovator_homeowner (353; 22.1%),how_to_installation_demo (644; 40.2%) | practical_advice_explainer (523; 32.7%) | problem_warning_mistakes (303; 18.9%),theme_question_request (654; 40.9%) | theme_damp_moisture_condensation (468; 29.2%) | theme_practical_advice (238; 14.9%),,,,,,,,
16,16,0.1387253940272795,2691,0.06340268124307895,0.4300922694586539,0.4593848809575968,570,0.014864362690449646,,,would | like | would not | would like | work | recommend | what would | how would | why would | love,would | like | would not | would like | work | recommend | what would | how would | why would | love | would recommend | would need | would love | better | would work | think | could | would use | looks | would never,love,heat_pump_heating_retrofit (676; 25.1%) | smart_heating_controls (316; 11.7%) | airtightness_draught_proofing (262; 9.7%),diy_renovator_homeowner (799; 29.7%) | installer_tradesperson (760; 28.2%) | training_educational (693; 25.8%),"how_to_installation_demo (1,426; 53.0%) | practical_advice_explainer (617; 22.9%) | problem_warning_mistakes (419; 15.6%)","theme_question_request (1,261; 46.9%) | theme_practical_advice (396; 14.7%) | theme_energy_performance (230; 8.5%)",,,,,,,,
20,1,0.1649269413531913,1302,0.030676436632660273,0.4264424853416473,0.46948290098950746,455,0.026113671274961597,,,not | did | did not | know | not know | just | sure | not need | does not | want,not | did | did not | know | not know | just | sure | not need | does not | want | not want | need | people | not sure | when | would not | could | think | could not | thing,,heat_pump_heating_retrofit (271; 20.8%) | smart_heating_controls (182; 14.0%) | solar_renewable_integration (175; 13.4%),installer_tradesperson (406; 31.2%) | diy_renovator_homeowner (387; 29.7%) | training_educational (278; 21.4%),how_to_installation_demo (703; 54.0%) | practical_advice_explainer (266; 20.4%) | problem_warning_mistakes (253; 19.4%),theme_practical_advice (487; 37.4%) | theme_question_request (251; 19.3%) | theme_cost_finance (115; 8.8%),,,,,,,,
20,2,0.3690121948606387,1460,0.034399076408359444,0.5022436302591169,0.5277297876613452,206,0.13219178082191782,,,foam | spray | spray foam | cell | foam insulation | closed | closed cell | foam board | expanding | board,foam | spray | spray foam | cell | foam insulation | closed | closed cell | foam board | expanding | board | expanding foam | cell spray | use spray | foam not | attic | cell foam | seal | mortgage | rot | toxic,,loft_roof_insulation (443; 30.3%) | airtightness_draught_proofing (306; 21.0%) | damp_condensation_moisture (252; 17.3%),builder_contractor (709; 48.6%) | diy_renovator_homeowner (316; 21.6%) | installer_tradesperson (237; 16.2%),how_to_installation_demo (632; 43.3%) | problem_warning_mistakes (568; 38.9%) | practical_advice_explainer (133; 9.1%),theme_product_material_tool (524; 35.9%) | theme_question_request (291; 19.9%) | theme_practical_advice (192; 13.2%),,,,,,,,
