topic_number,representative_rank,topic_weight,relative_topic_loading,video_id,comment_id,comment_text,retrofit_topic,creator_type,video_type,primary_theme
7,2,0.20228247285213827,1.0,jKiXJOX4ol8,UgxwhEvjXdkzouWG22l4AaABAg,Do you also have a heat pump?,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
7,3,0.18124345933673408,0.9698669193411291,fh_KDoj2Qm8,UgyYhjQHQxQiclZiGD14AaABAg,"Heat pump At 50c! , you need to rethink that one.",heat_pump_heating_retrofit,training_educational,how_to_installation_demo,theme_practical_advice
7,4,0.16181004853175399,0.7303343131979555,QLGANlbqIFY,UgyHPCFH1wQ5Y9osiXN4AaABAg,There seem to be two heat pumps out the front. What is the second heat pump for?,heat_pump_heating_retrofit,training_educational,project_walkthrough,theme_question_request
7,5,0.14489630235354506,1.0,xOUBlKTynes,UgzokSIQDFqfOrCzZTh4AaABAg,Get a quote for a heat pump: https://tech.referrals.octopus.energy/uOYXOG2p,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_cost_finance
7,6,0.13724415957358144,0.8429401660356276,qmWRN3Ob1Po,UgzKJJAHgWprZndih1x4AaABAg,I don't have the funds for this heat pump solution or do I have the space.,heat_pump_heating_retrofit,training_educational,how_to_installation_demo,theme_practical_advice
7,7,0.13254814500291998,0.624534517413903,lpRNEcK3fGA,Ugwh4X9U_q8zY2bjC_l4AaABAg,How noisy is your heat pump?,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request
7,8,0.13183107378419218,0.9916653537423652,0oDLwBZurp8,UgzBS1s0mT8OG-pJbGd4AaABAg,Are you showing the installation of the heat pump?,whole_house_deep_retrofit,builder_contractor,project_walkthrough,theme_question_request
8,1,0.2217453494583013,0.8948762250612032,GZAce6iz2gg,UgxeG2WIRsiQPT4fX0l4AaABAg,this video doesn't work,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_skepticism_critique
8,2,0.2217453494583013,0.8948762250612032,U-hVUczzlL4,UgwQN_WLDXlT3g4YY8l4AaABAg,"So, it doesn’t work.",ventilation_mvhr,diy_renovator_homeowner,how_to_installation_demo,theme_skepticism_critique
8,3,0.1946322985596142,0.981443436923118,ABjqoJ0eXYo,UgyYVcOMgpmx6jnLvuV4AaABAg,Does this work for a 830?,smart_heating_controls,training_educational,how_to_installation_demo,theme_question_request
8,4,0.1946322985596142,0.981443436923118,ZMp5ofZpPWo,UgyCaHxEmzr8tf0v-dh4AaABAg,Does it work??,airtightness_draught_proofing,diy_renovator_homeowner,practical_advice_explainer,theme_question_request
8,5,0.18988778203905088,0.8905863677754904,NoEnHZ8OyCM,Ugyb8hR6FCYARmZt_Pt4AaABAg,Don’t fck with me. Does this work?,smart_heating_controls,installer_tradesperson,problem_warning_mistakes,theme_question_request
8,6,0.17999148070957255,0.6759531509753607,AXamAjE0juw,UgzvmUmgJPL2aLEgyE14AaABAg,How does it work in wintertime with -10C. ?,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request
8,7,0.17344497527395722,0.8778290047933912,Oz8WcD385cY,UgynE4pLLFZTk9oKPwl4AaABAg,That cheap plastic doesn't work.,airtightness_draught_proofing,diy_renovator_homeowner,problem_warning_mistakes,theme_cost_finance
8,8,0.1705210577777074,0.938812445606298,QWkP4P7lUMA,Ugyq8h0YLUqbQFSzTbp4AaABAg,"Great video, thanks. ? does this work on windows as well?",airtightness_draught_proofing,training_educational,problem_warning_mistakes,theme_question_request
9,1,0.24908003282850613,1.0,IH7pXvIhHHE,UgyBoVn2fnYv3_-h9Gd4AaABAg,"I get it, but did you have to crumble it on yourself 😆 🤣",damp_condensation_moisture,diy_renovator_homeowner,problem_warning_mistakes,theme_practical_advice
9,2,0.24908003282850613,1.0,o93IFuUkPhs,UgxKfjiuAzUDc3Ff6n54AaABAg,"Also, did you have to readjust the tensioner?",airtightness_draught_proofing,diy_renovator_homeowner,how_to_installation_demo,theme_practical_advice
9,3,0.24908003282850613,1.0,qNQafR_5ALk,Ugx2TTTnlei_qCdzsnd4AaABAg,I did that.,damp_condensation_moisture,builder_contractor,problem_warning_mistakes,theme_personal_experience
9,4,0.1600753836841284,0.8701562782595257,2Apa2WcG9z0,UgxiKMF26yySUQSWTol4AaABAg,"Hi, did you do earthing with it? Thanks!",solar_renewable_integration,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
9,5,0.13800166513272585,0.7162569056444557,K_GmdyM8WVQ,UgxP9eaELKGnsJVhB5R4AaABAg,I did this and it didn't work,smart_heating_controls,installer_tradesperson,how_to_installation_demo,theme_personal_experience
9,6,0.1364411851498319,0.6314936086492825,YsVCTGRR7fc,Ugw9yp-_LnPZFXZOclh4AaABAg,You didn't show the slant ceiling area. How did you insulate that?,loft_roof_insulation,builder_contractor,how_to_installation_demo,theme_question_request
9,7,0.13067455273042405,0.49688143949805447,JcTgSwtljcY,Ugwa47ITJKyHlpsR0454AaABAg,How much did your power bill go up?,ventilation_mvhr,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
9,8,0.12998409222874976,0.5344358842921586,B5wwIv7ZhGI,UgyzLcdhIOOml0-roYV4AaABAg,How much did your electric bill go down by ?,loft_roof_insulation,installer_tradesperson,project_walkthrough,theme_question_request
10,1,0.22224409073009976,1.0,dIPM5yk2u38,Ugy6cCrz3mtjy5Jzynd4AaABAg,Where do you bui it ?,airtightness_draught_proofing,installer_tradesperson,how_to_installation_demo,theme_question_request
10,2,0.22224409073009976,1.0,Oz8WcD385cY,UgxNAPFBl-OwgtDtkAh4AaABAg,where do you find it?,airtightness_draught_proofing,diy_renovator_homeowner,problem_warning_mistakes,theme_question_request
10,3,0.22224409073009976,1.0,i41oW85zPm8,UgxtY1LinqZVaE-F7eN4AaABAg,Where are you Stakker?,loft_roof_insulation,builder_contractor,practical_advice_explainer,theme_question_request
10,4,0.22224409073009976,1.0,6bQgwGQAHeU,UgzPkYFGTxuSa-Kc5RB4AaABAg,Where’s the calking?,ventilation_mvhr,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
10,5,0.22224409073009976,1.0,xcAwujfTN64,UgygrArH5LZjgJMLFoV4AaABAg,Where is your harnesses?,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request
10,6,0.22224409073009976,1.0,co7pKcoVJu0,Ugx90JcjMB9bAQmTir94AaABAg,Where can I get this,external_wall_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
10,7,0.22224409073009976,1.0,JcTgSwtljcY,Ugykmq0tqJiz3D4Iz1V4AaABAg,Where can we get one?,ventilation_mvhr,diy_renovator_homeowner,how_to_installation_demo,theme_question_request
10,8,0.22224409073009976,1.0,46-e73YYEpM,Ugxia5I7WdjBMWuRYv94AaABAg,Where can i get them?,airtightness_draught_proofing,builder_contractor,problem_warning_mistakes,theme_question_request
11,1,0.11825420481925301,1.0,Hwn6WciiGy4,UgzA_GAshbEAOVA-5Dp4AaABAg,Warm roof then,loft_roof_insulation,installer_tradesperson,problem_warning_mistakes,theme_energy_performance
